iyear,imonth,count
1973,5,1
1979,2,1
1979,8,1
1979,9,1
1987,5,1
1988,3,1
1988,4,2
1988,5,1
1988,7,3
1988,8,1
1988,9,1
1988,10,1
1988,11,1
1989,1,1
1989,2,1
1989,4,1
1989,6,1
1989,7,4
1989,8,1
1989,12,1
1990,1,1
1990,10,1
1991,1,2
1991,4,3
1991,6,1
1991,7,8
1991,8,2
1991,9,2
1991,11,1
1991,12,11
1992,1,4
1992,2,3
1992,4,2
1992,5,4
1992,6,1
1992,7,3
1992,8,2
1992,9,2
1992,11,4
1992,12,11
1994,1,1
1994,3,1
1994,5,2
1994,7,3
1994,9,1
1994,11,1
1995,2,1
1995,4,1
1995,8,1
1995,9,1
1995,10,1
1995,12,1
1996,6,1
1996,7,1
1996,8,1
1996,11,1
1997,1,1
1998,9,1
1999,6,1
1999,7,4
1999,8,1
1999,11,3
2000,2,3
2000,6,1
2000,7,3
2000,8,1
2000,9,2
2000,10,1
2000,11,1
2000,12,2
2001,1,2
2001,2,4
2001,3,2
2001,5,1
2001,8,1
2001,9,3
2001,12,1
2002,1,2
2002,4,5
2002,5,6
2002,6,1
2002,7,1
2002,8,9
2002,9,3
2002,10,1
2002,11,7
2002,12,3
2003,1,6
2003,2,11
2003,3,26
2003,4,3
2003,5,7
2003,6,7
2003,7,8
2003,8,3
2003,9,9
2003,10,1
2003,11,10
2003,12,9
2004,1,12
2004,2,1
2004,3,3
2004,4,7
2004,5,4
2004,6,21
2004,7,8
2004,8,8
2004,9,5
2004,10,14
2004,11,2
2004,12,3
2005,1,6
2005,2,2
2005,3,10
2005,4,6
2005,5,12
2005,6,9
2005,7,27
2005,8,21
2005,9,15
2005,10,19
2005,11,12
2005,12,16
2006,1,18
2006,2,29
2006,3,6
2006,4,42
2006,5,39
2006,6,14
2006,7,42
2006,8,23
2006,9,19
2006,10,27
2006,11,10
2006,12,14
2007,1,15
2007,2,17
2007,3,21
2007,4,29
2007,5,19
2007,6,61
2007,7,27
2007,8,28
2007,9,23
2007,10,13
2007,11,64
2007,12,25
2008,1,40
2008,2,11
2008,3,54
2008,4,34
2008,5,41
2008,6,41
2008,7,47
2008,8,28
2008,9,31
2008,10,34
2008,11,31
2008,12,22
2009,1,20
2009,2,26
2009,3,33
2009,4,25
2009,5,54
2009,6,51
2009,7,78
2009,8,80
2009,9,51
2009,10,35
2009,11,26
2009,12,24
2010,1,28
2010,2,26
2010,3,33
2010,4,30
2010,5,72
2010,6,53
2010,7,42
2010,8,53
2010,9,118
2010,10,27
2010,11,32
2010,12,28
2011,1,20
2011,2,23
2011,3,16
2011,4,13
2011,5,36
2011,6,33
2011,7,36
2011,8,23
2011,9,41
2011,10,40
2011,11,88
2011,12,52
2012,1,99
2012,2,78
2012,3,109
2012,4,163
2012,5,196
2012,6,189
2012,7,138
2012,8,115
2012,9,94
2012,10,120
2012,11,94
2012,12,74
2013,1,82
2013,2,73
2013,3,106
2013,4,115
2013,5,157
2013,6,138
2013,7,167
2013,8,139
2013,9,140
2013,10,122
2013,11,100
2013,12,104
2014,1,101
2014,2,106
2014,3,142
2014,4,169
2014,5,196
2014,6,192
2014,7,150
2014,8,177
2014,9,175
2014,10,133
2014,11,125
2014,12,158
2015,1,155
2015,2,98
2015,3,102
2015,4,204
2015,5,233
2015,6,212
2015,7,164
2015,8,182
2015,9,176
2015,10,156
2015,11,115
2015,12,131
2016,1,133
2016,2,156
2016,3,135
2016,4,140
2016,5,161
2016,6,113
2016,7,125
2016,8,159
2016,9,112
2016,10,167
2016,11,96
2016,12,119
2017,1,109
2017,2,96
2017,3,100
2017,4,93
2017,5,146
2017,6,138
2017,7,142
2017,8,137
2017,9,134
2017,10,119
2017,11,93
2017,12,108
2018,1,94
2018,2,109
2018,3,97
2018,4,166
2018,5,160
2018,6,173
2018,7,163
2018,8,113
2018,9,167
2018,10,268
2018,11,148
2018,12,119
2019,1,112
2019,2,92
2019,3,123
2019,4,168
2019,5,208
2019,6,147
2019,7,231
2019,8,140
2019,9,202
2019,10,161
2019,11,93
2019,12,129
2020,1,95
2020,2,111
2020,3,236
2020,4,217
2020,5,199
2020,6,264
2020,7,266
2020,8,251
2020,9,272
2020,10,259
2020,11,221
2020,12,213
