iyear,imonth,count
1972,10,1
1976,1,1
1978,4,1
1979,1,1
1990,1,1
1990,4,1
1991,1,4
1991,2,4
1991,3,2
1991,4,1
1991,6,7
1991,7,1
1991,11,4
1991,12,7
1992,1,5
1992,2,12
1992,3,18
1992,4,7
1992,5,28
1992,6,19
1992,7,22
1992,8,33
1992,9,23
1992,10,19
1992,11,16
1992,12,13
1994,1,22
1994,2,29
1994,3,38
1994,4,19
1994,5,16
1994,6,9
1994,7,14
1994,8,17
1994,9,19
1994,10,22
1994,11,11
1994,12,11
1995,1,16
1995,2,28
1995,3,17
1995,4,7
1995,5,18
1995,6,4
1995,7,9
1995,8,17
1995,9,19
1995,10,20
1995,11,11
1995,12,19
1996,1,14
1996,2,10
1996,3,11
1996,4,6
1996,5,7
1996,6,9
1996,7,12
1996,8,12
1996,9,8
1996,10,10
1996,11,11
1996,12,19
1997,1,26
1997,2,16
1997,3,17
1997,4,11
1997,5,15
1997,6,23
1997,7,31
1997,8,63
1997,9,33
1997,10,35
1997,11,26
1997,12,48
1998,1,29
1998,2,18
1998,3,10
1998,4,8
1998,5,14
1998,6,11
1998,7,9
1998,8,11
1998,9,16
1998,10,15
1998,11,6
1998,12,4
1999,1,1
1999,2,3
1999,3,22
1999,4,1
1999,5,10
1999,6,23
1999,7,10
1999,8,11
1999,9,3
1999,10,6
1999,11,11
1999,12,5
2000,1,6
2000,2,9
2000,3,14
2000,4,13
2000,5,4
2000,6,12
2000,7,21
2000,8,5
2000,9,11
2000,10,13
2000,11,12
2000,12,18
2001,1,11
2001,2,9
2001,3,17
2001,4,4
2001,5,5
2001,6,5
2001,7,10
2001,8,21
2001,9,11
2001,10,3
2001,11,3
2001,12,14
2002,1,18
2002,2,10
2002,3,9
2002,4,5
2002,5,17
2002,6,17
2002,7,15
2002,8,13
2002,9,9
2002,10,8
2002,11,6
2002,12,5
2003,1,12
2003,2,13
2003,3,7
2003,4,2
2003,5,8
2003,6,4
2003,7,6
2003,8,2
2003,9,8
2003,10,3
2003,11,6
2003,12,4
2004,1,3
2004,2,5
2004,3,5
2004,4,6
2004,5,8
2004,6,7
2004,7,3
2004,8,9
2004,9,8
2004,10,3
2004,11,7
2004,12,3
2005,1,7
2005,2,3
2005,3,6
2005,4,13
2005,5,9
2005,6,11
2005,7,7
2005,8,7
2005,9,16
2005,10,14
2005,11,6
2005,12,5
2006,1,10
2006,2,10
2006,3,9
2006,4,13
2006,5,18
2006,6,16
2006,7,15
2006,8,17
2006,9,11
2006,10,25
2006,11,6
2006,12,2
2007,1,7
2007,2,23
2007,3,6
2007,4,13
2007,5,7
2007,6,13
2007,7,14
2007,8,8
2007,9,15
2007,10,7
2007,11,2
2007,12,9
2008,1,4
2008,2,6
2008,3,6
2008,4,7
2008,5,10
2008,6,13
2008,7,13
2008,8,25
2008,9,11
2008,10,6
2008,11,4
2008,12,2
2009,1,3
2009,2,5
2009,3,13
2009,4,14
2009,5,10
2009,6,8
2009,7,14
2009,8,11
2009,9,10
2009,10,8
2009,11,3
2009,12,9
2010,1,6
2010,2,3
2010,3,8
2010,4,5
2010,5,11
2010,6,10
2010,7,12
2010,8,12
2010,9,11
2010,10,9
2010,11,9
2010,12,4
2011,2,2
2011,3,1
2011,4,3
2011,5,1
2011,7,3
2011,8,2
2011,10,2
2011,12,1
2012,1,2
2012,2,1
2012,3,4
2012,4,8
2012,5,11
2012,6,4
2012,7,5
2012,8,2
2012,9,1
2012,10,2
2012,12,1
2013,1,2
2013,2,3
2013,3,2
2013,4,3
2013,5,1
2013,7,8
2013,8,1
2013,9,2
2014,2,2
2014,4,1
2014,5,2
2014,6,1
2014,7,1
2014,9,2
2014,10,1
2014,12,3
2015,1,1
2015,2,2
2015,3,1
2015,5,2
2015,6,1
2015,7,3
2015,8,1
2015,11,2
2015,12,2
2016,1,1
2016,2,1
2016,3,2
2016,8,1
2016,10,2
2016,11,1
2016,12,1
2017,1,1
2017,2,2
2017,4,2
2017,5,4
2017,6,1
2017,7,2
2017,8,1
2017,9,1
2018,1,1
2018,2,2
2018,5,2
2018,8,1
2018,9,1
2020,2,1
2020,3,1
2020,6,2
