iyear,imonth,count
1977,1,1
1978,11,2
1979,5,1
1979,8,2
1981,11,1
1982,11,1
1982,12,1
1983,2,3
1983,6,1
1983,7,2
1983,9,1
1984,2,1
1984,4,1
1984,6,1
1984,7,3
1984,9,1
1984,10,1
1984,11,2
1984,12,1
1985,4,1
1985,5,2
1985,6,1
1985,12,2
1986,2,1
1986,3,1
1986,5,2
1986,10,1
1987,7,1
1987,9,1
1987,10,1
1988,4,2
1988,5,4
1988,6,3
1988,10,2
1988,12,1
1989,2,3
1989,5,4
1989,9,3
1989,10,1
1989,12,1
1990,1,5
1990,2,3
1990,3,3
1990,4,30
1990,5,36
1990,6,3
1990,7,8
1990,8,50
1990,9,46
1990,10,4
1990,11,15
1990,12,2
1991,1,2
1991,2,5
1991,3,6
1991,4,1
1991,9,1
1991,12,1
1992,1,1
1992,3,3
1992,4,11
1992,6,1
1992,7,3
1992,8,4
1992,9,6
1992,10,13
1992,11,6
1992,12,2
1994,1,1
1994,2,1
1994,3,2
1994,4,2
1994,9,2
1994,12,1
1995,1,1
1995,2,2
1995,3,1
1995,6,1
1995,9,2
1995,10,2
1995,11,1
1996,1,1
1996,4,1
1996,12,2
1997,2,2
1997,5,1
1997,7,4
1998,2,2
1998,7,3
1998,8,2
1998,9,4
1998,10,1
1998,11,7
1998,12,1
1999,1,3
1999,2,2
1999,3,2
1999,4,2
1999,5,6
1999,6,9
1999,7,7
1999,9,1
1999,10,2
2000,1,2
2000,2,2
2000,3,2
2000,5,2
2000,6,2
2000,7,2
2000,8,3
2000,9,1
2000,10,1
2000,11,4
2000,12,1
2001,1,1
2001,2,2
2001,3,4
2001,4,4
2001,5,2
2001,6,7
2001,7,1
2001,8,10
2001,9,5
2001,10,1
2001,11,1
2001,12,2
2002,1,2
2002,2,1
2002,3,2
2002,4,1
2009,7,1
2010,1,1
2010,11,1
2016,5,1
2016,7,1
2017,2,3
2017,5,1
2017,6,1
2017,8,1
2019,10,1
2020,6,1
