iyear,imonth,count
1970,3,2
1970,4,1
1970,5,1
1970,6,1
1970,7,1
1970,8,2
1970,9,3
1970,10,3
1970,11,6
1970,12,1
1971,1,2
1971,3,1
1971,4,2
1971,5,1
1971,7,1
1972,1,1
1972,3,1
1972,4,1
1972,5,5
1972,6,1
1972,9,5
1972,10,2
1972,11,1
1972,12,3
1973,1,2
1973,2,4
1973,3,4
1973,4,12
1973,5,7
1973,6,1
1973,7,4
1973,8,2
1973,9,6
1973,10,7
1973,11,6
1973,12,5
1974,1,7
1974,3,11
1974,4,6
1974,5,4
1974,6,13
1974,7,3
1974,8,2
1974,9,19
1974,10,4
1974,11,2
1975,2,9
1975,3,7
1975,4,4
1975,5,1
1975,6,1
1975,7,3
1975,8,3
1975,10,4
1975,11,3
1975,12,3
1976,1,4
1976,2,4
1976,3,4
1976,4,5
1976,5,4
1976,6,6
1976,7,1
1976,8,5
1976,9,9
1976,10,7
1976,11,4
1976,12,1
1977,1,1
1977,2,1
1977,3,2
1977,4,2
1977,7,2
1977,10,3
1977,12,6
1978,1,4
1978,3,2
1978,4,3
1978,6,3
1978,7,1
1978,8,4
1978,9,3
1978,11,1
1978,12,4
1979,1,2
1979,3,1
1979,4,1
1979,6,1
1979,8,2
1979,9,2
1979,10,1
1979,11,4
1979,12,2
1980,3,2
1980,5,1
1980,8,1
1980,9,1
1980,11,1
1981,8,1
1981,9,1
1982,2,1
1982,4,5
1982,5,1
1982,8,1
1982,12,1
1983,1,1
1983,2,2
1983,3,3
1983,4,1
1983,5,1
1983,6,3
1983,7,1
1983,8,3
1983,9,2
1983,10,1
1984,1,7
1984,2,1
1984,4,1
1984,5,1
1984,7,9
1984,8,4
1984,9,10
1984,10,7
1984,11,4
1984,12,2
1985,1,1
1985,3,1
1985,4,9
1985,5,3
1985,6,4
1985,7,2
1985,8,2
1985,9,2
1985,10,13
1985,11,2
1985,12,4
1986,2,1
1986,3,2
1986,5,16
1986,6,1
1986,7,3
1986,8,2
1986,9,5
1986,12,3
1987,1,2
1987,2,1
1987,3,5
1987,4,9
1987,5,6
1987,6,20
1987,7,5
1987,8,8
1987,9,3
1987,10,7
1987,11,10
1987,12,4
1988,2,1
1988,3,11
1988,4,4
1988,5,1
1988,6,2
1988,7,1
1988,9,4
1988,10,5
1988,11,1
1988,12,3
1989,1,3
1989,2,5
1989,3,3
1989,5,7
1989,6,2
1989,7,1
1989,8,1
1989,9,4
1989,10,2
1989,11,1
1989,12,3
1990,1,3
1990,2,3
1990,4,2
1990,5,1
1990,6,2
1990,7,1
1990,8,5
1990,9,1
1990,10,7
1990,11,1
1990,12,5
1991,1,2
1991,2,5
1991,3,1
1991,4,2
1991,5,2
1991,6,3
1991,7,4
1991,8,1
1991,9,2
1991,10,1
1991,11,3
1991,12,1
1992,3,6
1992,4,3
1992,5,4
1992,6,3
1992,7,3
1992,8,1
1992,9,2
1992,10,1
1992,11,13
1992,12,5
1994,1,1
1994,3,1
1994,4,1
1994,5,2
1994,6,1
1994,7,2
1994,8,2
1994,9,1
1994,10,2
1994,11,1
1995,3,1
1995,5,3
1995,7,4
1995,10,7
1995,12,1
1996,2,1
1996,4,3
1996,7,2
1996,8,3
1996,10,2
1996,11,2
1996,12,6
1997,1,1
1997,2,1
1997,3,1
1997,6,1
1997,7,3
1997,9,1
1997,12,3
1999,4,1
2001,1,1
2001,3,1
2003,4,1
2005,6,3
2009,8,1
2010,2,1
2010,5,1
2010,9,1
2010,12,2
2011,12,1
2012,5,2
2013,9,2
2014,10,1
2015,11,1
2016,3,1
2016,8,1
2017,7,2
2017,8,1
2018,7,2
2018,8,1
2018,11,2
2019,5,1
2020,9,3
2020,11,1
2020,12,1
