iyear,imonth,count
1970,10,1
1971,11,1
1972,9,7
1972,12,1
1974,12,1
1978,2,1
1978,5,1
1979,1,1
1979,4,1
1980,11,1
1980,12,5
1981,11,1
1982,12,2
1986,3,1
1986,11,1
1988,4,1
1988,7,1
1988,12,1
1989,1,1
1989,10,1
1991,1,1
1991,2,1
1991,9,2
1992,1,1
1992,4,1
1992,7,1
1992,11,1
1994,1,1
1994,3,4
1994,9,2
1994,10,2
1995,6,3
1995,7,1
1995,9,1
1996,8,2
1996,10,3
1997,2,2
1997,8,1
1997,9,1
1998,9,1
1998,11,1
1998,12,4
2000,10,1
2001,9,1
2001,10,1
2006,4,1
2006,8,1
2008,4,1
2009,10,1
2010,2,1
2013,9,1
2014,2,1
2014,5,2
2014,8,1
2014,9,1
2014,11,1
2014,12,2
2015,1,1
2015,3,2
2015,4,3
2015,10,2
2015,11,2
2015,12,2
2016,4,1
2016,5,2
2016,6,1
2016,7,1
2016,9,2
2016,11,1
2016,12,1
2017,4,1
2017,6,1
2017,7,1
2017,12,1
2018,2,1
2018,5,1
2018,11,1
2019,5,1
2019,6,1
2020,3,1
2020,5,2
2020,8,1
2020,12,1
