iyear,imonth,count
1972,1,1
1972,5,1
1972,9,5
1973,1,1
1973,9,1
1974,4,1
1975,10,1
1975,12,1
1976,8,1
1976,9,1
1976,12,2
1977,1,4
1977,8,1
1978,7,1
1979,1,1
1979,4,2
1979,9,2
1980,1,1
1980,7,1
1981,5,1
1981,8,2
1982,2,1
1982,4,2
1982,7,1
1982,8,5
1982,9,2
1984,6,1
1984,11,3
1985,2,1
1985,9,1
1985,12,2
1986,4,3
1986,6,1
1987,3,2
1987,5,1
1987,9,1
1988,3,1
1989,5,1
1989,7,1
1990,6,1
1991,2,1
1991,10,1
1991,12,1
1992,1,2
1992,3,2
1992,9,1
1992,10,2
1992,11,1
1994,8,1
1994,10,4
1995,2,4
1995,3,1
1995,4,2
1995,6,1
1995,10,2
1995,12,2
1996,2,1
1996,3,1
1996,7,1
1996,12,1
1997,1,1
1998,1,1
2006,4,1
2007,11,1
2008,3,1
2008,10,6
2009,1,1
2009,5,1
2009,8,1
2011,1,1
2013,2,1
2016,6,1
2016,8,1
2016,11,1
2017,6,1
2018,3,1
2020,7,1
2020,8,1
2020,11,2
