iyear,imonth,count
1979,12,1
1980,12,1
1991,12,1
1994,11,1
1995,1,3
1995,3,4
1995,5,1
1996,1,1
1996,2,3
1996,3,4
1996,4,2
1996,5,2
1996,6,2
1996,8,1
1996,9,1
1997,6,2
1997,7,7
1997,8,1
1997,12,1
2003,3,1
2006,5,1
2008,4,1
2010,3,1
2010,9,1
2011,12,1
2012,2,1
2012,3,1
2012,4,6
2012,5,3
2012,7,1
2012,8,3
2012,9,1
2012,10,1
2012,11,9
2013,1,2
2013,2,5
2013,3,8
2013,4,7
2013,5,2
2013,7,9
2013,8,8
2013,9,4
2013,10,4
2013,12,3
2014,2,4
2014,3,11
2014,4,5
2014,5,1
2014,6,3
2014,7,2
2014,8,1
2014,9,1
2014,10,8
2014,11,3
2014,12,3
2015,1,1
2015,2,4
2015,3,1
2015,5,1
2015,7,4
2015,8,3
2015,9,1
2015,10,2
2015,11,1
2016,4,1
2016,10,1
2016,11,1
2017,1,5
2017,2,5
2017,3,2
2017,6,2
2017,8,3
2017,10,2
2017,11,2
2018,3,1
