iyear,imonth,count
1977,1,1
1979,3,1
1980,5,1
1981,5,1
1982,3,1
1984,9,1
1985,8,1
1986,3,2
1986,4,1
1986,5,1
1986,6,1
1986,8,1
1986,9,1
1986,10,2
1986,12,2
1987,2,1
1987,3,1
1987,8,2
1987,10,1
1987,12,1
1988,2,14
1988,3,3
1988,4,1
1988,5,9
1988,6,3
1988,7,5
1988,8,1
1989,1,3
1989,4,4
1989,5,2
1989,6,6
1989,7,3
1989,8,3
1989,9,8
1989,10,1
1989,11,4
1989,12,2
1990,1,2
1990,3,4
1990,4,2
1990,6,2
1990,8,3
1990,9,3
1990,10,4
1990,11,1
1990,12,1
1991,1,2
1991,2,3
1991,3,3
1991,4,1
1991,6,2
1991,7,9
1991,8,2
1991,9,2
1991,10,2
1991,11,8
1991,12,8
1992,1,2
1992,2,5
1992,3,8
1992,4,2
1992,5,12
1992,6,6
1992,7,5
1992,8,6
1992,11,2
1992,12,28
1994,5,1
1994,6,1
1994,7,1
1994,8,1
1994,9,9
1994,10,7
1994,11,7
1994,12,41
1995,1,2
1995,2,1
1995,3,4
1995,4,1
1995,5,15
1995,6,4
1995,7,2
1995,8,2
1995,9,13
1995,10,13
1995,11,10
1995,12,7
1996,1,10
1996,2,52
1996,3,53
1996,4,22
1996,5,3
1996,6,9
1996,7,2
1996,9,5
1996,10,1
1996,11,3
1996,12,1
1997,2,2
1997,3,4
1997,4,3
1997,6,1
1997,9,1
1997,11,4
1997,12,2
1998,8,2
1999,2,2
1999,3,2
1999,4,2
1999,10,5
2000,1,16
2000,2,1
2000,3,1
2000,7,3
2000,8,1
2000,9,1
2001,1,2
2001,2,2
2001,4,4
2001,6,3
2001,9,3
2001,11,1
2002,5,1
2002,8,1
2002,9,2
2002,12,1
2003,2,1
2003,3,3
2004,1,2
2004,3,1
2004,5,1
2004,6,2
2004,8,2
2004,9,2
2004,10,1
2005,1,1
2005,2,1
2005,5,2
2005,6,1
2005,8,2
2005,9,1
2005,10,6
2005,11,4
2005,12,5
2006,1,1
2006,2,6
2006,4,3
2006,5,1
2006,7,9
2006,8,2
2006,11,1
2007,3,1
2007,4,1
2007,5,2
2007,6,3
2007,11,2
2008,1,1
2008,3,1
2008,4,2
2008,5,1
2008,6,3
2008,7,4
2008,8,1
2008,9,1
2008,10,3
2008,12,2
2009,1,1
2009,2,1
2009,3,3
2009,5,2
2009,6,8
2009,7,6
2009,8,2
2009,9,2
2009,10,1
2009,11,1
2010,1,4
2010,2,8
2010,3,1
2010,4,2
2010,6,1
2010,7,1
2010,10,1
2010,11,4
2011,1,2
2011,2,2
2011,3,3
2011,4,2
2011,5,2
2011,7,1
2011,11,1
2012,2,1
2012,3,1
2012,4,4
2012,5,3
2012,6,1
2012,7,1
2012,8,3
2012,9,1
2012,12,3
2013,1,48
2013,2,15
2013,3,12
2013,4,10
2013,5,3
2013,6,6
2013,7,5
2013,8,1
2013,10,10
2013,11,15
2013,12,13
2014,1,66
2014,2,9
2014,3,5
2014,4,6
2014,5,4
2014,6,1
2014,7,3
2014,8,4
2014,9,13
2014,10,2
2014,11,8
2014,12,9
2015,1,172
2015,2,153
2015,3,75
2015,4,4
2015,5,1
2015,6,3
2015,7,1
2015,8,7
2015,9,6
2015,10,13
2015,11,10
2015,12,24
2016,1,3
2016,2,6
2016,3,4
2016,4,10
2016,5,10
2016,6,13
2016,7,15
2016,8,3
2016,10,5
2016,11,15
2016,12,5
2017,1,2
2017,2,2
2017,3,15
2017,4,1
2017,5,4
2017,6,6
2017,7,2
2017,8,1
2017,9,1
2017,10,4
2017,12,3
2018,1,4
2018,2,5
2018,3,2
2018,4,1
2018,5,4
2018,6,4
2018,8,1
2018,9,1
2018,10,1
2018,11,1
2018,12,9
2019,2,3
2019,3,4
2019,4,2
2019,5,5
2019,7,2
2019,8,4
2019,9,2
2019,10,2
2019,11,2
2019,12,6
2020,1,6
2020,2,3
2020,4,1
2020,5,1
2020,7,5
2020,8,1
2020,10,1
2020,11,12
