iyear,imonth,count
1970,8,1
1972,9,4
1973,3,1
1974,5,4
1974,8,1
1976,5,1
1977,12,1
1978,1,4
1978,2,2
1978,3,2
1979,2,1
1979,3,1
1979,4,2
1979,6,1
1979,7,1
1979,8,1
1979,12,1
1980,2,2
1980,6,1
1980,7,2
1980,11,2
1980,12,1
1981,6,1
1981,7,1
1981,8,2
1981,9,1
1981,10,1
1982,9,1
1983,2,3
1983,5,2
1983,7,1
1983,11,1
1983,12,1
1984,5,1
1984,8,2
1984,10,4
1984,11,1
1984,12,2
1985,1,2
1985,4,2
1985,5,2
1985,6,1
1985,10,4
1985,11,6
1985,12,4
1986,8,1
1986,9,1
1986,11,1
1987,10,1
1988,2,1
1988,4,2
1988,8,1
1988,12,1
1989,1,1
1989,3,2
1989,6,1
1989,10,1
1989,12,2
1990,2,1
1990,3,1
1991,7,4
1991,8,1
1991,12,1
1992,2,1
1992,3,5
1992,10,2
1992,11,1
1994,1,2
1994,2,2
1994,11,1
1995,1,1
1997,3,1
1997,6,1
1998,10,2
1998,11,1
1999,7,1
1999,8,1
2002,4,1
2002,5,1
2002,11,1
2003,6,8
2007,2,1
2009,1,1
2012,3,1
2014,5,1
2014,9,1
2016,3,2
2016,8,2
2016,10,1
2016,12,1
2017,5,1
2017,6,1
2017,8,1
2018,5,1
2018,7,1
2018,11,1
2019,11,1
2020,4,1
2020,7,1
2020,9,1
