iyear,imonth,count
1970,7,1
1971,5,2
1974,1,1
1976,7,1
1977,8,1
1978,1,1
1978,8,1
1978,9,1
1979,9,1
1979,10,10
1979,12,3
1980,1,3
1980,2,3
1980,3,1
1980,5,1
1980,6,21
1980,7,4
1980,8,1
1980,9,1
1981,5,2
1981,10,2
1981,11,1
1982,1,2
1982,2,7
1982,5,3
1982,6,3
1982,7,2
1982,9,6
1982,10,4
1983,5,2
1983,6,1
1983,8,1
1983,9,2
1983,10,6
1983,11,15
1984,3,1
1984,4,1
1984,5,3
1984,6,1
1984,7,2
1984,11,6
1985,2,2
1985,3,7
1985,7,1
1985,9,3
1986,3,1
1986,4,2
1986,8,1
1987,1,1
1987,4,3
1987,5,2
1987,6,3
1987,8,1
1987,9,1
1987,10,2
1987,11,1
1988,3,1
1988,6,1
1988,7,5
1988,8,2
1988,12,2
1989,1,3
1989,3,21
1989,5,1
1989,7,1
1989,8,1
1989,9,1
1989,11,11
1989,12,1
1990,1,4
1990,5,1
1990,10,4
1990,12,2
1991,3,1
1991,4,4
1991,5,1
1991,7,2
1991,8,4
1991,9,11
1991,11,4
1991,12,1
1992,1,7
1992,3,2
1992,4,4
1992,5,5
1992,6,3
1992,7,2
1992,10,4
1992,11,9
1992,12,2
1994,2,1
1994,3,1
1994,5,2
1994,7,1
1994,8,2
1994,10,1
1995,1,1
1995,11,1
1996,4,1
1997,4,2
1997,5,1
1997,6,1
2003,12,1
2005,5,1
2007,12,3
2009,4,1
2009,8,2
2012,10,1
2018,2,2
2019,10,1
2020,6,9
