iyear,imonth,count
1992,4,5
1992,5,2
1992,6,1
1992,7,1
1992,8,5
1992,9,3
1992,11,3
1992,12,2
1994,5,3
1994,7,3
1994,8,1
1994,9,1
1994,12,1
1995,3,3
1995,4,1
1995,10,1
1995,11,1
1996,2,1
1996,3,1
1996,7,3
1996,8,3
1996,9,4
1996,10,13
1996,11,8
1997,2,4
1997,3,4
1997,4,2
1997,7,13
1997,8,4
1997,9,7
1997,10,6
1997,11,2
1998,7,6
1998,8,1
1998,10,2
1999,3,4
1999,10,1
2000,1,1
2000,3,3
2000,6,2
2001,4,1
2001,5,1
2002,2,1
2002,5,1
2002,12,1
2003,1,1
2005,1,1
2006,12,1
2007,4,1
2007,11,1
2008,10,2
2008,11,1
2008,12,1
2009,5,1
2010,6,1
2011,10,1
2013,1,1
2014,7,1
2014,12,2
2015,1,1
2015,4,1
2015,10,1
2015,11,3
2018,8,1
2018,9,1
