iyear,imonth,count
1970,3,1
1970,4,1
1970,6,1
1970,7,2
1970,12,1
1971,11,3
1972,2,1
1972,9,2
1973,5,1
1973,10,1
1976,8,2
1976,9,2
1976,10,1
1977,6,1
1978,0,1
1978,3,1
1978,7,1
1978,9,2
1979,3,1
1979,7,1
1979,8,1
1979,9,1
1979,12,2
1980,1,1
1980,3,3
1980,6,4
1980,7,3
1980,8,6
1980,10,1
1980,11,1
1981,3,1
1981,4,4
1981,5,1
1981,6,2
1981,10,3
1982,2,1
1982,5,2
1982,8,1
1983,8,1
1983,9,6
1983,11,1
1984,4,3
1984,6,1
1984,10,1
1985,10,1
1986,10,1
1986,11,2
1987,9,1
1988,5,1
1988,11,1
1989,3,1
1989,5,3
1989,12,1
1990,6,1
1990,9,3
1990,10,1
1990,12,2
1991,1,3
1991,2,3
1991,3,1
1991,4,1
1991,5,1
1991,6,6
1991,7,1
1991,8,1
1991,9,3
1991,10,3
1991,12,1
1992,1,1
1992,2,3
1992,3,1
1992,5,6
1992,6,5
1992,9,3
1992,11,4
1992,12,1
1994,3,1
1994,4,1
1994,5,3
1994,6,3
1994,8,1
1994,10,2
1994,11,1
1994,12,7
1995,1,2
1995,2,3
1995,3,5
1995,5,2
1995,6,3
1995,7,2
1995,10,5
1995,12,1
1996,1,1
1996,3,2
1996,4,1
1996,5,1
1996,6,4
1996,7,4
1996,8,2
1996,10,3
1997,1,4
1997,2,1
1997,4,1
1997,6,3
1997,7,1
1997,8,6
1997,9,3
1997,10,11
1997,11,4
1997,12,5
1998,11,2
1999,5,1
2000,3,1
2000,9,1
2001,8,1
2001,10,2
2002,6,1
2003,4,1
2006,7,2
2006,8,1
2012,4,1
2013,1,1
2013,6,1
2013,7,1
2014,1,1
2014,2,1
2014,9,1
2015,5,2
2015,7,1
2015,8,1
2015,10,1
2016,4,1
2016,8,1
2016,11,1
2017,3,1
2017,11,1
2018,1,2
2018,2,1
2018,3,3
2018,4,2
2018,5,1
2018,9,1
2018,12,2
2019,12,3
2020,2,1
2020,4,1
2020,5,1
2020,6,1
2020,10,1
2020,11,1
