iyear,imonth,count
1984,7,1
1991,12,2
2013,8,1
2015,4,1
2015,8,2
2015,9,1
2015,10,1
2015,11,1
2016,1,5
2016,5,2
2016,9,1
2016,10,1
2016,12,1
2017,1,4
2017,2,2
2017,3,3
2017,6,3
2017,7,4
2017,8,3
2017,9,3
2017,10,3
2017,11,7
2018,1,2
2018,2,1
2018,3,5
2018,4,3
2018,5,4
2018,6,4
2018,7,4
2018,8,8
2018,9,11
2018,10,11
2018,11,9
2018,12,10
2019,1,12
2019,2,13
2019,3,15
2019,4,11
2019,5,17
2019,6,9
2019,7,3
2019,8,10
2019,9,20
2019,10,24
2019,11,13
2019,12,14
2020,1,15
2020,2,16
2020,3,17
2020,4,12
2020,5,15
2020,6,3
2020,7,7
2020,8,7
2020,9,8
2020,10,4
2020,11,3
2020,12,3
