iyear,imonth,count
1991,11,7
1992,3,1
1992,4,1
1994,1,2
1994,2,1
1994,3,1
1994,5,1
1994,8,2
1994,9,2
1994,10,1
1994,11,4
1994,12,2
1995,1,4
1995,2,5
1995,3,11
1995,4,2
1995,5,7
1995,6,6
1995,7,13
1995,8,4
1995,9,5
1995,10,1
1995,11,7
1995,12,18
1996,1,1
1996,2,2
1996,3,1
1996,4,5
1996,5,10
1996,6,4
1996,7,3
1996,9,5
1996,10,4
1997,2,1
1997,3,6
1997,4,2
1997,5,3
1997,6,6
1997,7,3
1997,8,4
1997,9,8
1997,10,42
1997,11,2
1997,12,2
1998,1,3
1998,2,2
1998,4,1
1998,8,3
1998,9,1
1998,10,2
1998,11,1
1999,6,2
1999,7,2
1999,8,2
1999,10,1
1999,11,6
2000,1,2
2000,2,1
2000,3,1
2000,5,1
2000,7,2
2000,8,1
2000,9,4
2000,10,1
2000,11,1
2000,12,3
2001,1,1
2001,2,1
2001,4,4
2001,5,2
2001,6,4
2001,7,1
2001,8,11
2001,9,6
2001,11,3
2001,12,4
2002,1,2
2002,3,1
2002,4,3
2002,5,4
2002,6,3
2002,8,2
2002,11,2
2002,12,1
2003,1,2
2003,4,1
2003,5,2
2003,7,11
2003,11,2
2004,1,1
2005,1,2
2005,5,1
2005,6,1
2005,12,1
2006,1,1
2006,2,1
2006,7,1
2006,8,1
2006,12,1
2007,11,3
2008,4,3
2008,7,2
2008,12,2
2010,6,27
2010,9,1
2010,11,1
2011,5,1
2011,6,2
2011,7,2
2011,8,2
2011,9,1
2012,2,1
2012,3,1
2012,7,2
2013,5,1
2013,7,1
2014,2,1
2014,3,2
2014,9,1
2014,10,1
2015,1,1
2015,3,2
2015,5,5
2015,6,21
2015,7,7
2015,8,12
2015,9,7
2015,10,10
2015,11,25
2015,12,12
2016,1,11
2016,2,21
2016,3,18
2016,4,14
2016,5,6
2016,6,3
2016,7,1
2016,9,3
2016,10,1
2016,11,2
2016,12,3
2017,1,3
2017,4,4
2017,5,4
2017,6,1
2017,7,3
2017,8,4
2017,9,1
2017,12,1
2018,2,1
2018,4,1
2018,5,2
2018,6,3
2018,8,1
2018,9,1
2018,10,1
2019,1,1
2019,9,2
2019,10,1
2019,11,2
2020,3,2
2020,5,1
2020,8,1
2020,9,3
