iyear,imonth,count
1971,9,2
1972,9,2
1978,12,1
1989,3,1
1989,10,1
1990,2,2
1991,2,1
1991,12,2
1992,1,3
1992,2,1
1992,3,1
1992,6,3
1992,7,15
1992,8,13
1992,9,3
1992,10,8
1992,11,13
1992,12,7
1994,1,1
1994,2,1
1994,3,1
1994,4,6
1994,5,3
1994,6,1
1994,7,3
1994,8,1
1994,9,6
1994,10,9
1994,11,2
1994,12,5
1995,1,2
1995,3,2
1995,4,2
1995,5,12
1995,6,20
1995,7,12
1995,9,3
1995,10,1
1995,12,2
1996,1,2
1996,2,2
1996,3,2
1996,4,3
1996,5,12
1996,6,4
1996,7,1
1996,10,3
1996,11,2
1996,12,2
1997,1,1
1997,2,4
1997,3,1
1997,4,1
1997,5,3
1997,6,3
1997,7,3
1997,10,1
1997,12,1
1998,2,1
1998,4,1
1998,7,3
1998,8,2
1999,3,4
1999,4,1
1999,10,3
2000,9,1
2000,10,1
2000,11,2
2001,7,2
2001,8,1
2001,11,4
2002,1,3
2003,2,1
2008,7,2
2013,9,2
2018,7,1
2020,6,1
