iyear,imonth,count
1991,4,1
1991,7,2
1991,10,1
1992,1,1
1992,4,3
1992,8,1
1992,11,1
1994,1,3
1994,2,1
1994,3,1
1994,5,1
1995,3,1
1995,6,1
1998,4,1
2007,11,1
2008,6,1
2009,7,1
2010,3,2
2010,11,1
2011,2,2
2011,10,1
2013,2,1
2013,11,2
2014,1,1
2014,3,2
2014,4,3
2014,5,4
2014,6,1
2014,7,8
2014,8,8
2014,9,8
2014,10,10
2014,11,8
2014,12,16
2015,1,10
2015,2,8
2015,3,3
2015,4,4
2015,5,1
2015,6,1
2015,7,12
2015,8,9
2015,9,11
2015,10,5
2015,11,12
2015,12,7
2016,1,13
2016,2,5
2016,3,3
2016,4,3
2016,5,5
2016,6,5
2016,7,3
2016,8,2
2016,9,1
2016,10,5
2016,11,8
2016,12,5
2017,1,6
2017,2,1
2017,3,2
2017,4,6
2017,5,7
2017,6,19
2017,7,8
2017,8,7
2017,9,13
2017,10,10
2017,11,16
2017,12,16
2018,1,19
2018,2,18
2018,3,18
2018,4,18
2018,5,13
2018,6,12
2018,7,27
2018,8,19
2018,9,34
2018,10,15
2018,11,23
2018,12,20
2019,1,12
2019,2,18
2019,3,9
2019,4,19
2019,5,10
2019,6,9
2019,7,10
2019,8,14
2019,9,12
2019,10,9
2019,11,10
2019,12,14
2020,1,27
2020,2,22
2020,3,13
2020,4,9
2020,5,6
2020,6,9
2020,7,8
2020,8,10
2020,9,8
2020,10,6
2020,11,15
2020,12,12
