iyear,imonth,count
1970,10,2
1972,4,2
1972,9,2
1974,1,1
1980,1,1
1980,3,1
1980,12,1
1982,0,1
1982,1,1
1982,4,1
1982,8,1
1982,10,1
1983,3,1
1985,3,2
1985,6,1
1986,5,1
1986,8,1
1989,12,1
1992,4,1
1992,5,2
1994,3,3
1994,11,1
1995,5,2
1995,11,2
1995,12,1
1996,4,1
1997,11,2
1998,7,1
1998,8,1
1998,10,1
1998,11,1
1999,6,1
1999,10,1
2000,5,1
2000,7,1
2000,9,1
2000,11,2
2004,4,1
2004,11,1
2006,1,1
2006,6,1
2008,5,1
2008,8,1
2008,10,3
2009,1,2
2009,7,2
2010,5,1
2010,8,1
2012,5,1
2012,7,1
2012,11,1
2013,1,1
2013,5,2
2013,7,1
2014,6,1
2014,10,2
2015,5,1
2015,6,1
2015,8,1
2015,11,2
2016,1,1
2016,3,1
2016,7,1
2016,8,1
2016,9,2
2017,1,1
2017,2,2
2017,4,2
2017,5,1
2017,6,1
2017,7,1
2017,8,4
2017,9,3
2017,11,1
2018,4,2
2018,5,1
2018,6,1
2018,7,1
2018,10,2
2019,3,1
2019,4,1
2019,5,1
2019,6,1
2019,10,1
2020,2,2
2020,5,7
2020,7,2
2020,8,2
2020,9,1
