iyear,imonth,count
1981,7,1
1986,4,1
1991,5,1
1991,7,1
1991,8,1
1991,11,1
1992,10,1
1994,11,1
1996,12,1
2000,8,1
2001,5,1
2006,4,1
2007,6,1
2008,9,1
2008,10,1
2009,6,1
2009,8,1
2009,11,3
2010,2,4
2010,3,3
2010,5,2
2010,6,1
2010,9,2
2010,10,1
2011,3,1
2011,4,1
2011,6,1
2012,4,1
2012,6,1
2012,11,2
2013,1,1
2013,2,4
2013,3,2
2013,4,1
2013,5,2
2013,11,1
2013,12,10
2014,1,10
2014,2,11
2014,3,9
2014,4,15
2014,5,12
2014,6,1
2014,7,7
2014,8,5
2014,9,6
2014,10,13
2014,11,2
2014,12,3
2015,1,6
2015,2,1
2015,3,2
2015,7,4
2015,8,6
2015,9,6
2015,10,9
2015,11,12
2015,12,3
2016,1,5
2016,2,1
2016,3,3
2016,4,3
2016,5,1
2016,6,8
2016,7,1
2016,9,2
2016,10,9
2016,11,4
2016,12,1
2017,1,3
2017,2,7
2017,3,9
2017,5,6
2017,6,4
2017,7,6
2017,8,1
2017,9,1
2017,10,2
2017,11,2
2017,12,2
2018,1,3
2018,2,3
2018,3,3
2018,4,7
2018,5,8
2018,6,6
2018,7,3
2018,8,5
2018,9,3
2018,10,1
2018,11,3
2018,12,1
2019,1,4
2019,3,1
2019,4,6
2019,5,3
2019,12,1
2020,1,1
2020,2,1
2020,3,7
2020,4,1
2020,5,3
2020,6,2
2020,7,1
2020,8,1
2020,9,1
2020,10,4
2020,12,14
