iyear,imonth,count
1974,4,1
1984,3,1
1985,2,1
1986,1,1
1991,4,1
1991,10,1
1992,1,1
1992,2,1
1992,8,1
1992,9,1
1994,1,1
1995,1,1
1995,3,1
1995,7,1
1996,8,1
1997,7,1
1998,2,1
1999,7,1
2002,4,1
2002,5,1
2002,8,2
2006,4,5
2006,7,2
2006,10,1
2006,11,1
2006,12,2
2007,1,1
2007,2,4
2007,3,1
2007,9,1
2008,2,2
2008,5,2
2008,6,3
2008,8,1
2009,9,1
2009,11,1
2009,12,1
2010,6,1
2014,8,1
2015,2,1
2015,3,1
2015,4,1
2015,5,1
2015,6,2
2015,7,9
2015,8,1
2015,10,3
2015,11,4
2015,12,4
2016,1,2
2016,8,1
2016,9,1
2016,11,1
2017,3,2
2017,5,1
2017,8,1
2017,11,1
2017,12,1
2018,2,1
2018,5,1
2018,7,1
2018,8,4
2018,9,2
2018,10,3
2019,2,3
2019,3,1
2019,4,1
2019,5,3
2019,6,1
2019,8,1
2019,10,1
2019,11,1
2019,12,2
2020,1,5
2020,2,1
2020,3,1
2020,4,1
2020,7,2
2020,9,2
2020,10,2
2020,11,1
