iyear,imonth,count
1973,7,2
1973,8,4
1973,12,1
1976,5,1
1976,7,1
1977,4,1
1977,7,1
1977,9,2
1977,10,1
1977,11,1
1978,3,1
1978,5,1
1978,9,1
1978,11,2
1978,12,3
1979,1,3
1979,2,5
1979,3,3
1979,4,7
1979,5,9
1979,6,7
1979,7,5
1979,8,3
1979,9,2
1979,10,2
1979,11,2
1979,12,1
1980,2,2
1980,3,1
1980,4,7
1980,5,3
1980,6,1
1980,7,5
1980,9,1
1980,10,4
1980,11,11
1980,12,6
1981,1,1
1981,2,6
1981,3,7
1981,4,1
1981,5,1
1981,6,2
1981,7,4
1981,8,1
1981,9,2
1981,10,4
1981,11,4
1981,12,1
1982,2,5
1982,3,2
1982,7,3
1982,8,4
1982,9,2
1982,10,4
1982,12,1
1983,3,4
1983,4,6
1983,5,1
1983,6,6
1983,7,7
1983,8,13
1983,9,12
1983,10,18
1983,11,16
1983,12,23
1984,1,20
1984,2,22
1984,3,90
1984,4,40
1984,5,63
1984,6,37
1984,7,23
1984,8,110
1984,9,41
1984,10,62
1984,11,31
1984,12,24
1985,3,25
1985,4,19
1985,5,20
1985,6,23
1985,7,28
1985,8,19
1985,9,3
1985,10,24
1985,11,52
1985,12,19
1986,1,1
1986,2,11
1986,3,49
1986,4,44
1986,5,13
1986,6,23
1986,7,20
1986,8,24
1986,9,26
1986,10,17
1986,11,5
1986,12,10
1987,1,1
1987,2,4
1987,4,12
1987,5,4
1987,6,22
1987,7,15
1987,8,19
1987,9,41
1987,10,10
1987,11,31
1987,12,14
1988,1,12
1988,2,18
1988,3,14
1988,4,13
1988,5,14
1988,6,12
1988,7,12
1988,8,14
1988,9,9
1988,10,11
1988,11,18
1988,12,38
1989,1,4
1989,2,11
1989,3,16
1989,4,15
1989,5,4
1989,6,1
1989,7,17
1989,8,18
1989,9,14
1989,10,14
1989,11,14
1989,12,18
1990,1,5
1990,2,7
1990,3,24
1990,4,5
1990,5,34
1990,6,9
1990,7,17
1990,8,11
1990,9,15
1990,10,14
1990,11,4
1990,12,16
1991,1,14
1991,2,9
1991,3,10
1991,4,11
1991,5,3
1991,6,2
1991,7,19
1991,8,6
1991,9,13
1991,10,17
1991,11,9
1991,12,14
1992,1,12
1992,3,21
1992,4,2
1992,5,6
1992,6,8
1992,7,14
1992,8,7
1992,9,9
1992,10,25
1992,11,1
1992,12,11
1994,2,5
1994,5,1
1994,8,1
1994,9,8
1995,5,1
1995,6,2
1995,7,1
1995,9,3
1995,10,8
1995,12,2
1996,4,1
1996,7,1
1996,10,4
1996,11,1
1996,12,1
1997,2,1
1997,5,2
1997,9,1
1997,11,1
1997,12,1
1998,3,1
1999,10,3
2000,11,1
2000,12,1
2001,8,1
2001,9,1
2001,11,1
2002,9,1
2003,3,2
2006,1,1
2007,3,1
2007,10,1
2007,12,6
2008,3,1
2008,8,2
2008,9,1
2009,1,5
2009,10,1
2009,11,2
2010,3,1
2010,5,1
2010,9,1
2010,12,2
2011,6,2
2011,11,3
2011,12,1
2012,4,2
2013,1,4
2013,12,1
2014,3,2
2014,7,6
2014,8,2
2014,9,4
2014,10,1
2014,11,2
2015,2,1
2016,1,2
2016,2,2
2016,3,2
2016,4,5
2016,5,3
2016,8,3
2016,9,2
2017,1,1
2017,2,1
2017,3,1
2017,5,3
2017,6,1
2017,7,1
2017,8,2
2017,9,5
2017,11,1
2017,12,1
2018,1,15
2018,2,6
2018,3,1
2018,4,3
2018,5,1
2018,6,3
2018,7,8
2018,8,2
2018,9,1
2018,10,3
2018,11,3
2018,12,1
2019,1,6
2019,2,1
2019,3,1
2019,5,2
2019,6,2
2019,7,3
2019,9,3
2019,10,8
2019,11,1
2020,1,2
2020,2,4
2020,3,1
2020,4,4
2020,5,5
2020,6,9
2020,8,15
2020,9,6
2020,10,6
2020,11,1
2020,12,1
