iyear,imonth,count
1989,4,1
1989,6,1
1989,12,1
1990,12,1
1991,1,1
1992,2,2
1992,5,2
1992,11,1
1994,2,1
1994,3,4
1994,4,1
1994,6,1
1994,9,2
1994,12,4
1995,1,4
1995,8,1
1995,10,1
1995,12,2
1996,2,1
1996,3,3
1996,4,1
1996,5,2
1996,7,47
1996,8,3
1996,9,2
1996,11,1
1996,12,2
1997,2,5
1997,3,7
1997,4,1
1997,5,2
1997,10,2
1997,12,1
1998,2,1
1998,5,1
1999,4,1
1999,6,1
2000,2,1
2000,9,1
2000,10,1
2000,11,1
2001,2,1
2001,7,1
2001,10,1
2001,12,9
2002,5,1
2002,10,1
2003,1,1
2003,2,2
2004,1,1
2004,7,1
2005,1,1
2008,3,2
2008,4,2
2008,5,1
2008,6,1
2008,7,2
2008,8,11
2008,9,1
2009,3,2
2009,4,1
2009,5,1
2009,6,1
2009,7,1
2009,9,1
2010,8,1
2011,7,3
2011,10,1
2012,2,1
2012,5,1
2012,6,1
2012,10,1
2013,3,1
2013,6,7
2013,10,1
2013,11,2
2013,12,1
2014,1,5
2014,2,2
2014,3,3
2014,4,2
2014,5,8
2014,6,4
2014,7,6
2014,8,1
2014,9,4
2014,10,1
2014,11,1
2015,2,1
2015,3,4
2015,4,1
2015,5,3
2015,6,2
2015,7,4
2015,9,1
2015,12,1
2016,4,1
2016,11,3
2016,12,1
2017,1,2
2017,2,1
2017,6,1
2017,10,2
2018,6,1
2019,8,2
2019,9,4
2019,10,3
2019,11,2
2019,12,3
2020,1,11
2020,2,2
2020,3,3
2020,4,2
2020,5,1
2020,7,1
2020,12,1
