iyear,imonth,count
1970,7,1
1972,7,1
1972,12,1
1973,0,1
1973,1,2
1973,5,1
1973,10,1
1973,11,1
1975,2,1
1975,3,3
1975,4,1
1975,5,1
1975,8,2
1975,9,2
1976,1,5
1976,2,2
1976,3,1
1976,4,1
1976,5,4
1976,7,2
1976,8,2
1976,9,2
1976,10,2
1976,11,1
1977,1,4
1977,2,2
1977,3,3
1977,4,2
1977,7,6
1977,8,1
1977,9,20
1977,10,19
1977,11,13
1977,12,10
1978,1,23
1978,2,19
1978,3,6
1978,4,8
1978,5,22
1978,6,12
1978,7,6
1978,8,23
1978,9,6
1978,10,10
1978,11,11
1978,12,12
1979,0,1
1979,1,15
1979,2,10
1979,3,11
1979,4,6
1979,5,18
1979,6,9
1979,7,8
1979,8,16
1979,9,20
1979,10,6
1979,11,14
1979,12,6
1980,1,9
1980,2,11
1980,3,4
1980,4,21
1980,5,10
1980,6,29
1980,7,6
1980,8,8
1980,9,14
1980,10,15
1980,11,5
1980,12,9
1981,1,15
1981,2,15
1981,3,11
1981,4,22
1981,5,8
1981,6,2
1981,7,11
1981,8,15
1981,9,10
1981,10,28
1981,11,20
1981,12,15
1982,1,15
1982,2,22
1982,3,35
1982,4,29
1982,5,13
1982,6,18
1982,7,16
1982,8,14
1982,9,12
1982,10,24
1982,11,19
1982,12,5
1983,1,34
1983,2,18
1983,3,10
1983,4,16
1983,5,19
1983,6,16
1983,7,24
1983,8,25
1983,9,23
1983,10,12
1983,11,27
1983,12,10
1984,1,25
1984,2,28
1984,3,37
1984,4,28
1984,5,34
1984,6,15
1984,7,23
1984,8,13
1984,9,11
1984,10,7
1984,11,9
1984,12,7
1985,1,30
1985,2,18
1985,3,33
1985,4,23
1985,5,41
1985,6,57
1985,7,30
1985,8,42
1985,9,23
1985,10,30
1985,11,35
1985,12,20
1986,1,8
1986,2,17
1986,3,30
1986,4,25
1986,5,24
1986,6,48
1986,7,25
1986,8,24
1986,9,24
1986,10,26
1986,11,26
1986,12,30
1987,1,26
1987,2,49
1987,3,28
1987,4,34
1987,5,25
1987,6,25
1987,7,20
1987,8,17
1987,9,48
1987,10,37
1987,11,15
1987,12,13
1988,1,41
1988,2,42
1988,3,35
1988,4,46
1988,5,46
1988,6,39
1988,7,21
1988,8,19
1988,9,31
1988,10,36
1988,11,49
1988,12,22
1989,1,33
1989,2,36
1989,3,21
1989,4,19
1989,5,27
1989,6,22
1989,7,45
1989,8,34
1989,9,121
1989,10,88
1989,11,32
1989,12,14
1990,1,26
1990,2,39
1990,3,37
1990,4,45
1990,5,60
1990,6,45
1990,7,34
1990,8,5
1990,9,14
1990,10,8
1990,11,17
1990,12,19
1991,1,50
1991,2,87
1991,3,26
1991,4,18
1991,5,29
1991,6,4
1991,7,58
1991,8,42
1991,9,24
1991,10,46
1991,11,16
1991,12,20
1992,1,59
1992,2,11
1992,3,20
1992,4,16
1992,5,61
1992,6,29
1992,7,16
1992,8,13
1992,9,28
1992,10,56
1992,11,122
1992,12,92
1994,1,11
1994,2,36
1994,3,22
1994,4,6
1994,5,16
1994,6,23
1994,7,34
1994,8,7
1994,9,7
1994,10,25
1994,11,4
1994,12,10
1995,1,18
1995,2,7
1995,3,3
1995,4,2
1995,5,14
1995,6,9
1995,7,5
1995,8,10
1995,9,10
1995,10,27
1995,11,11
1995,12,7
1996,1,13
1996,2,12
1996,3,15
1996,4,49
1996,5,26
1996,6,9
1996,7,27
1996,8,43
1996,9,94
1996,10,69
1996,11,25
1996,12,27
1997,1,25
1997,2,21
1997,3,44
1997,4,23
1997,5,36
1997,6,51
1997,7,77
1997,8,92
1997,9,81
1997,10,52
1997,11,49
1997,12,47
1998,2,4
1998,3,7
1998,4,15
1998,5,4
1998,6,1
1998,7,2
1998,8,41
1998,9,4
1998,10,10
1998,11,4
1998,12,2
1999,1,2
1999,2,6
1999,3,19
1999,4,10
1999,5,4
1999,6,18
1999,7,15
1999,8,7
1999,9,4
1999,10,8
1999,11,8
1999,12,15
2000,1,15
2000,2,17
2000,3,11
2000,4,12
2000,5,4
2000,6,3
2000,7,8
2000,8,7
2000,9,24
2000,10,20
2000,11,10
2000,12,6
2001,1,22
2001,2,12
2001,3,10
2001,4,5
2001,5,8
2001,6,5
2001,7,5
2001,8,76
2001,9,13
2001,10,13
2001,11,22
2001,12,16
2002,1,25
2002,2,18
2002,3,9
2002,4,17
2002,5,32
2002,6,9
2002,7,10
2002,8,10
2002,9,3
2002,10,4
2002,11,8
2002,12,5
2003,1,32
2003,2,3
2003,3,20
2003,4,5
2003,5,11
2003,6,2
2003,7,3
2003,8,6
2003,9,2
2003,10,10
2003,11,2
2003,12,2
2004,1,4
2004,2,1
2004,3,2
2004,5,12
2004,6,5
2004,7,5
2004,8,5
2004,9,2
2004,11,1
2005,1,1
2005,2,4
2005,4,5
2005,5,2
2005,6,3
2005,7,2
2005,8,7
2005,10,1
2005,11,1
2005,12,16
2006,1,6
2006,2,7
2006,4,9
2006,5,8
2006,6,2
2006,7,5
2006,8,2
2006,10,2
2006,11,1
2006,12,1
2007,1,4
2007,3,1
2007,4,2
2007,6,5
2007,7,1
2007,8,2
2007,9,1
2007,10,6
2007,11,4
2007,12,4
2008,1,4
2008,2,1
2008,3,2
2008,4,8
2008,5,12
2008,6,21
2008,7,13
2008,8,12
2008,9,13
2008,10,20
2008,11,14
2008,12,13
2009,1,7
2009,2,11
2009,3,13
2009,4,13
2009,5,11
2009,6,11
2009,7,14
2009,8,10
2009,9,15
2009,10,11
2009,11,9
2009,12,13
2010,1,7
2010,2,14
2010,3,14
2010,4,5
2010,5,18
2010,6,19
2010,7,7
2010,8,11
2010,9,5
2010,10,7
2010,11,23
2010,12,6
2011,1,9
2011,2,13
2011,3,17
2011,4,15
2011,5,17
2011,6,2
2011,11,12
2011,12,9
2012,1,7
2012,2,8
2012,3,9
2012,4,11
2012,5,10
2012,6,8
2012,7,18
2012,8,18
2012,9,5
2012,10,8
2012,11,7
2012,12,6
2013,1,25
2013,2,19
2013,3,8
2013,4,10
2013,5,15
2013,6,4
2013,7,11
2013,8,8
2013,9,4
2013,10,19
2013,11,14
2013,12,12
2014,1,18
2014,2,11
2014,3,18
2014,4,19
2014,5,17
2014,6,22
2014,7,26
2014,8,29
2014,9,17
2014,10,19
2014,11,23
2014,12,12
2015,1,3
2015,2,9
2015,3,4
2015,4,5
2015,5,17
2015,6,39
2015,7,28
2015,8,9
2015,9,10
2015,10,4
2015,11,3
2015,12,5
2016,1,3
2016,2,17
2016,3,7
2016,4,10
2016,5,9
2016,6,7
2016,7,11
2016,8,9
2016,9,7
2016,10,8
2016,11,13
2016,12,9
2017,1,17
2017,2,9
2017,3,12
2017,4,9
2017,5,10
2017,6,12
2017,7,10
2017,8,6
2017,9,12
2017,10,12
2017,11,4
2017,12,6
2018,1,25
2018,2,41
2018,3,12
2018,4,12
2018,5,10
2018,6,10
2018,7,24
2018,8,24
2018,9,8
2018,10,13
2018,11,15
2018,12,12
2019,1,19
2019,2,20
2019,3,40
2019,4,10
2019,5,26
2019,6,20
2019,7,29
2019,8,11
2019,9,22
2019,10,14
2019,11,8
2019,12,11
2020,1,22
2020,2,32
2020,3,17
2020,4,10
2020,5,12
2020,6,7
2020,7,17
2020,8,14
2020,9,9
2020,10,6
2020,11,17
2020,12,8
