iyear,imonth,count
1973,4,3
1975,3,2
1977,12,1
1978,2,1
1978,9,1
1979,4,4
1979,11,1
1980,4,1
1981,1,1
1981,5,1
1981,9,1
1982,12,1
1983,3,2
1984,5,3
1984,9,3
1984,10,1
1985,3,2
1985,4,1
1985,7,1
1985,9,1
1985,11,2
1986,8,2
1986,12,1
1987,1,6
1987,4,1
1987,5,1
1987,6,2
1988,2,2
1988,5,1
1988,9,1
1988,10,1
1989,8,1
1989,9,3
1989,10,2
1990,1,1
1990,3,1
1990,10,8
1990,11,1
1991,2,3
1991,3,5
1991,8,2
1991,9,1
1992,1,2
1992,3,1
1992,4,1
1992,11,2
1994,1,1
1994,3,2
1994,5,1
1994,6,1
1994,9,1
1995,9,2
1995,10,1
1996,2,1
1996,5,2
1996,6,2
1996,7,1
1996,9,2
1996,10,1
1996,12,1
1998,11,1
1999,8,1
2000,8,2
2001,5,1
2004,8,1
2007,9,1
2012,12,1
2013,3,1
2013,5,1
2014,1,1
2014,8,1
2016,2,1
2016,12,1
2020,3,1
2020,4,2
2020,6,1
2020,7,4
2020,12,3
