iyear,imonth,count
1997,12,1
1998,8,2
1998,10,2
1999,2,1
1999,6,1
1999,11,1
2000,7,1
2000,9,2
2001,2,1
2001,5,1
2001,8,1
2001,9,2
2002,3,2
2002,6,1
2002,8,4
2003,4,2
2003,5,1
2003,6,1
2003,7,1
2003,11,1
2004,5,1
2004,6,2
2004,9,2
2005,2,1
2005,5,2
2005,6,2
2006,1,3
2006,7,2
2007,1,1
2007,3,2
2007,5,2
2007,6,2
2007,8,2
2007,11,2
2008,3,1
2008,6,2
2008,7,1
2008,10,4
2008,11,5
2008,12,7
2009,1,16
2009,2,4
2009,3,1
2009,4,4
2009,5,5
2009,6,4
2009,7,1
2009,8,3
2009,9,6
2009,10,1
2009,11,5
2009,12,4
2010,2,1
2010,3,6
2010,4,2
2010,5,2
2010,6,1
2010,7,1
2010,8,3
2010,9,1
2010,10,1
2011,2,5
2011,3,2
2011,5,1
2011,6,2
2011,10,2
2011,11,4
2012,1,3
2012,4,1
2012,5,3
2012,6,1
2012,8,5
2012,10,6
2012,11,5
2012,12,1
2013,1,1
2013,3,1
2013,4,1
2013,5,4
2013,7,2
2013,8,1
2013,9,2
2013,10,5
2013,11,1
2013,12,4
2014,1,8
2014,2,6
2014,3,6
2014,4,12
2014,5,5
2014,6,5
2014,7,8
2014,8,10
2014,9,9
2014,10,16
2014,11,12
2014,12,13
2015,1,3
2015,2,5
2015,3,15
2015,4,12
2015,5,12
2015,6,7
2015,7,11
2015,8,7
2015,9,15
2015,10,17
2015,11,26
2015,12,13
2016,1,10
2016,2,10
2016,3,30
2016,4,7
2016,5,18
2016,6,3
2016,7,25
2016,8,8
2016,9,10
2016,10,6
2016,11,22
2016,12,20
2017,1,12
2017,2,10
2017,3,9
2017,4,10
2017,5,10
2017,6,24
2017,7,12
2017,8,9
2017,9,12
2017,10,13
2017,11,5
2017,12,17
2018,1,22
2018,2,13
2018,3,10
2018,4,13
2018,5,12
2018,6,4
2018,7,11
2018,8,5
2018,9,19
2018,10,17
2018,11,20
2018,12,17
2019,1,12
2019,2,15
2019,3,16
2019,4,11
2019,5,31
2019,6,19
2019,7,13
2019,8,18
2019,9,48
2019,10,15
2019,11,20
2019,12,32
2020,1,23
2020,2,19
2020,3,7
2020,4,17
2020,5,32
2020,6,40
2020,7,44
2020,8,25
2020,9,39
2020,10,24
2020,11,23
2020,12,17
