iyear,imonth,count
1973,8,1
1974,11,3
1976,9,2
1977,6,6
1977,11,1
1978,2,3
1978,3,1
1978,9,5
1978,11,1
1978,12,1
1979,6,2
1980,10,2
1981,6,1
1981,8,1
1982,5,1
1982,11,1
1982,12,1
1983,3,3
1983,4,1
1983,5,4
1983,8,2
1984,3,15
1984,5,2
1984,6,1
1984,10,2
1984,11,3
1984,12,1
1985,3,1
1985,4,3
1985,5,4
1985,7,2
1985,8,1
1985,9,1
1986,1,1
1986,5,1
1986,6,1
1986,8,1
1986,9,2
1986,10,2
1987,1,1
1987,4,1
1987,6,2
1987,8,1
1987,12,1
1988,1,3
1988,4,3
1988,8,1
1988,10,2
1989,4,1
1989,5,1
1989,6,5
1989,8,3
1989,9,1
1989,10,1
1989,12,2
1990,3,3
1990,7,4
1990,10,1
1991,1,7
1991,5,1
1991,9,5
1991,10,1
1991,12,3
1992,1,2
1992,2,1
1992,3,2
1992,5,3
1992,6,1
1992,8,2
1992,9,7
1992,10,1
1992,12,4
1994,5,4
1994,6,1
1994,12,1
1995,3,1
1995,5,1
1995,10,2
1995,12,2
1996,3,3
1996,5,1
1996,9,1
1997,2,1
1997,5,1
1997,9,1
1997,10,1
1998,9,2
1998,11,1
1999,9,2
2000,1,1
2000,2,2
2000,10,1
2001,2,1
2001,8,4
2002,8,2
2003,1,1
2003,3,3
2004,2,2
2008,5,1
2008,11,1
2009,1,1
2009,5,2
2011,11,1
2012,9,1
2013,4,2
2015,7,1
2016,6,1
2016,7,3
2016,11,1
2016,12,1
2017,1,1
2017,2,2
2018,1,1
2018,2,2
2018,3,5
2018,4,2
2018,5,1
2019,1,1
2019,5,2
2020,2,1
2020,3,1
2020,5,1
2020,7,1
2020,8,1
