iyear,imonth,count
1970,3,1
1971,11,1
1972,2,1
1977,12,1
1978,9,1
1978,10,1
1979,4,1
1980,1,2
1980,4,1
1980,7,1
1980,11,1
1981,3,1
1981,4,3
1981,8,1
1981,9,1
1981,10,3
1982,9,1
1985,8,1
1985,10,1
1986,3,2
1986,6,1
1986,11,1
1987,5,3
1987,6,1
1987,8,3
1988,1,1
1988,3,1
1988,6,1
1988,8,2
1988,10,1
1988,12,3
1989,1,1
1989,4,1
1989,5,1
1989,6,2
1989,8,1
1989,12,1
1990,1,1
1990,2,3
1990,3,1
1990,4,1
1990,5,1
1990,7,5
1990,10,1
1991,5,2
1991,6,1
1991,8,1
1991,10,2
1991,11,2
1991,12,2
1992,2,1
1992,3,3
1992,4,3
1992,5,3
1992,6,22
1992,7,8
1992,8,9
1992,9,8
1992,10,8
1992,11,12
1992,12,2
1994,1,7
1994,2,18
1994,3,23
1994,4,9
1994,5,9
1994,6,4
1994,7,5
1994,8,5
1994,9,12
1994,10,14
1994,11,14
1994,12,23
1995,1,13
1995,2,11
1995,3,10
1995,4,17
1995,5,5
1995,6,4
1995,7,4
1995,8,8
1995,9,9
1995,10,8
1995,11,6
1995,12,7
1996,1,5
1996,2,10
1996,3,1
1996,4,4
1996,5,1
1996,6,2
1996,7,5
1996,8,8
1996,9,6
1996,10,4
1996,11,4
1996,12,1
1997,1,1
1997,2,2
1997,3,2
1997,4,2
1997,7,3
1997,8,2
1997,9,4
1997,10,3
1997,11,3
1998,3,1
1998,7,1
1998,9,1
1999,9,1
2004,10,3
2005,4,1
2005,7,1
2006,4,5
2008,11,1
2009,2,1
2009,5,1
2010,2,1
2010,6,1
2011,1,1
2011,2,1
2011,4,2
2011,6,2
2011,7,3
2011,8,4
2011,9,1
2011,11,3
2011,12,1
2012,1,1
2012,2,5
2012,3,2
2012,4,2
2012,5,4
2012,6,1
2012,7,2
2012,8,16
2012,9,10
2012,11,5
2012,12,1
2013,1,6
2013,2,4
2013,3,3
2013,4,2
2013,5,4
2013,6,11
2013,7,108
2013,8,64
2013,9,42
2013,10,42
2013,11,18
2013,12,17
2014,1,39
2014,2,28
2014,3,23
2014,4,21
2014,5,32
2014,6,26
2014,7,33
2014,8,25
2014,9,24
2014,10,28
2014,11,44
2014,12,31
2015,1,97
2015,2,88
2015,3,71
2015,4,102
2015,5,49
2015,6,61
2015,7,53
2015,8,29
2015,9,23
2015,10,35
2015,11,17
2015,12,22
2016,1,34
2016,2,15
2016,3,28
2016,4,16
2016,5,26
2016,6,42
2016,7,43
2016,8,43
2016,9,33
2016,10,46
2016,11,35
2016,12,15
2017,1,32
2017,2,25
2017,3,28
2017,4,18
2017,5,18
2017,6,8
2017,7,18
2017,8,15
2017,9,18
2017,10,22
2017,11,10
2017,12,13
2018,1,9
2018,2,3
2018,3,3
2018,4,5
2018,5,3
2018,6,6
2018,8,7
2018,9,6
2018,10,4
2018,11,4
2018,12,4
2019,1,5
2019,2,6
2019,3,2
2019,4,7
2019,5,4
2019,6,13
2019,7,4
2019,8,3
2019,9,5
2019,10,8
2019,11,3
2019,12,3
2020,1,3
2020,2,8
2020,3,5
2020,4,4
2020,5,5
2020,6,3
2020,7,12
2020,8,1
2020,10,9
2020,11,3
2020,12,4
