iyear,imonth,count
1972,11,2
1973,4,1
1974,2,1
1974,3,1
1974,4,1
1975,4,1
1975,8,1
1975,11,1
1976,2,3
1976,3,1
1976,6,1
1976,8,6
1976,10,2
1977,1,1
1977,2,1
1977,4,1
1977,6,1
1977,9,2
1978,0,1
1978,2,10
1978,3,11
1978,4,3
1978,5,5
1978,6,1
1978,7,1
1978,8,3
1978,9,10
1978,10,7
1978,11,33
1978,12,6
1979,1,9
1979,2,12
1979,3,13
1979,4,4
1979,5,50
1979,6,26
1979,7,4
1979,8,48
1979,9,22
1979,10,74
1979,11,17
1979,12,47
1980,1,43
1980,2,28
1980,3,62
1980,4,98
1980,5,40
1980,6,41
1980,7,64
1980,8,52
1980,9,90
1980,10,72
1980,11,75
1980,12,45
1981,1,49
1981,2,67
1981,3,53
1981,4,59
1981,5,56
1981,6,27
1981,7,39
1981,8,80
1981,9,31
1981,10,52
1981,11,47
1981,12,104
1982,1,63
1982,2,37
1982,3,57
1982,4,16
1982,5,39
1982,6,27
1982,7,29
1982,8,57
1982,9,26
1982,10,107
1982,11,31
1982,12,48
1983,1,55
1983,2,38
1983,3,42
1983,4,23
1983,5,40
1983,6,16
1983,7,14
1983,8,49
1983,9,42
1983,10,26
1983,11,16
1983,12,10
1984,1,22
1984,2,29
1984,3,26
1984,4,20
1984,5,13
1984,6,30
1984,7,28
1984,8,19
1984,9,19
1984,10,24
1984,11,25
1984,12,18
1985,1,33
1985,2,53
1985,3,20
1985,4,17
1985,5,112
1985,6,47
1985,7,46
1985,8,36
1985,9,21
1985,10,23
1985,11,12
1985,12,16
1986,1,23
1986,2,31
1986,3,7
1986,4,32
1986,5,17
1986,6,11
1986,7,12
1986,8,9
1986,9,5
1986,11,19
1986,12,9
1987,1,10
1987,2,8
1987,3,14
1987,4,36
1987,5,16
1987,6,11
1987,7,51
1987,8,7
1987,9,4
1987,10,6
1987,11,61
1987,12,10
1988,1,12
1988,2,58
1988,3,34
1988,4,9
1988,5,22
1988,6,22
1988,7,31
1988,8,3
1988,9,15
1988,10,49
1988,11,50
1988,12,62
1989,1,40
1989,2,62
1989,3,38
1989,4,66
1989,5,30
1989,6,13
1989,7,12
1989,8,19
1989,9,31
1989,10,19
1989,11,17
1989,12,9
1990,1,2
1990,2,11
1990,3,28
1990,4,3
1990,5,34
1990,6,29
1990,7,7
1990,8,23
1990,9,7
1990,10,5
1990,11,21
1990,12,14
1991,1,52
1991,2,7
1991,3,18
1991,4,20
1991,5,74
1991,6,25
1991,7,75
1991,8,61
1991,9,25
1991,10,114
1991,11,27
1991,12,2
1992,1,9
1992,3,3
1992,4,3
1992,5,1
1992,7,4
1992,8,1
1992,9,1
1992,10,4
1992,11,2
1992,12,1
1994,1,2
1994,2,6
1994,3,1
1994,4,1
1994,5,2
1994,6,1
1994,7,1
1994,8,2
1994,9,2
1994,10,2
1994,11,1
1995,1,4
1995,2,1
1995,3,1
1995,8,2
1995,11,1
1996,5,1
1996,9,1
1996,10,3
1996,11,2
1997,8,1
1997,10,1
