iyear,imonth,count
1970,1,1
1970,3,1
1970,4,1
1971,1,1
1973,1,1
1974,3,2
1974,4,1
1974,5,1
1975,7,1
1975,9,1
1975,10,1
1975,12,1
1976,5,2
1976,6,1
1976,7,1
1976,9,1
1977,3,2
1977,4,1
1977,12,1
1978,10,1
1978,11,1
1979,4,1
1979,5,2
1979,9,1
1983,4,1
1983,8,2
1984,10,1
1985,3,1
1986,12,1
1987,11,1
1988,2,1
1988,6,1
1989,3,1
1990,2,5
1990,3,2
1990,4,2
1990,8,1
1991,6,1
1991,10,2
1991,11,2
1992,2,1
1992,3,2
1992,4,7
1992,6,1
1992,8,1
1992,9,1
1994,1,1
1994,2,1
1994,6,1
1994,12,1
1995,2,1
1995,3,1
1995,6,2
1995,9,1
1996,1,1
1996,2,2
1996,6,1
1996,7,1
1996,8,1
1996,11,1
1997,2,2
1997,4,3
1997,9,1
1999,8,1
1999,11,1
2000,8,1
2002,6,1
2002,7,1
2002,9,1
2003,9,1
2004,4,1
2004,5,1
2005,7,3
2005,8,1
2005,10,1
2006,1,4
2006,3,3
2006,4,2
2006,5,1
2006,10,1
2007,1,1
2007,3,1
2007,4,1
2007,5,1
2007,11,1
2008,4,1
2008,5,3
2008,6,1
2008,9,3
2009,2,1
2009,5,1
2010,4,2
2011,2,1
2011,3,1
2011,5,1
2012,1,1
2012,2,1
2012,3,1
2013,5,2
2013,8,1
2013,10,1
2013,11,1
2014,4,1
2014,6,1
2015,6,1
2015,10,2
2015,12,4
2016,4,11
2016,5,1
2016,8,1
2017,1,4
2017,2,2
2017,3,5
2017,4,6
2017,5,3
2017,6,3
2017,8,3
2017,12,2
2018,4,1
2018,5,1
2018,6,2
2018,9,1
2018,10,3
2018,12,2
2019,1,5
2019,3,1
2019,6,5
2019,8,1
2019,9,3
2019,10,4
2019,12,7
2020,1,2
2020,2,3
2020,3,1
2020,6,10
2020,7,3
2020,9,14
2020,10,3
2020,11,14
2020,12,3
