iyear,imonth,count
1972,5,4
1972,8,1
1972,9,2
1972,10,2
1972,11,1
1972,12,1
1973,1,2
1973,3,2
1973,4,2
1973,5,1
1973,6,1
1973,8,1
1973,9,1
1973,10,1
1973,11,1
1973,12,2
1974,0,1
1974,1,2
1974,2,3
1974,3,3
1974,4,1
1974,5,1
1974,7,8
1974,8,3
1974,9,2
1974,10,1
1974,12,4
1975,1,3
1975,2,5
1975,3,3
1975,4,1
1975,5,8
1975,6,3
1975,7,4
1975,8,2
1975,9,4
1975,10,4
1975,11,1
1975,12,1
1976,1,1
1976,2,10
1976,3,2
1976,4,5
1976,5,13
1976,6,3
1976,7,5
1976,8,2
1976,9,3
1976,10,8
1976,11,4
1976,12,2
1977,0,2
1977,1,1
1977,2,3
1977,3,2
1977,4,4
1977,5,4
1977,6,6
1977,7,5
1977,8,4
1977,9,1
1977,10,6
1977,11,5
1977,12,10
1978,1,6
1978,2,4
1978,3,2
1978,4,1
1978,5,7
1978,6,9
1978,7,12
1978,8,3
1978,9,7
1978,10,1
1978,12,7
1979,1,6
1979,2,2
1979,3,46
1979,4,15
1979,5,69
1979,6,34
1979,7,9
1979,8,4
1979,9,9
1979,10,7
1979,11,8
1979,12,3
1980,1,11
1980,2,3
1980,3,19
1980,4,19
1980,5,5
1980,6,9
1980,7,4
1980,8,3
1980,9,4
1980,10,10
1980,11,4
1980,12,3
1981,1,5
1981,2,11
1981,3,14
1981,4,2
1981,5,6
1981,6,2
1981,8,3
1981,9,2
1981,10,10
1981,11,9
1981,12,2
1982,1,11
1982,2,5
1982,3,2
1982,4,2
1982,5,2
1982,6,8
1982,7,14
1982,8,16
1982,9,1
1982,12,1
1983,1,10
1983,2,5
1983,3,1
1983,4,27
1983,5,43
1983,7,5
1983,8,7
1983,9,1
1983,10,12
1983,11,3
1983,12,7
1984,1,7
1984,2,9
1984,3,3
1984,4,6
1984,5,4
1984,6,18
1984,7,32
1984,8,25
1984,9,8
1984,10,25
1984,11,1
1984,12,7
1985,1,16
1985,2,3
1985,3,4
1985,4,6
1985,5,34
1985,6,5
1985,7,18
1985,8,3
1985,9,5
1985,10,6
1985,12,5
1986,1,1
1986,2,9
1986,3,6
1986,4,6
1986,5,2
1986,6,6
1986,7,10
1986,8,2
1986,9,12
1986,10,1
1986,11,7
1986,12,33
1987,1,3
1987,2,51
1987,3,1
1987,5,1
1987,6,2
1987,7,6
1987,8,3
1987,9,4
1987,10,11
1987,11,4
1987,12,1
1988,1,14
1988,2,6
1988,3,12
1988,4,6
1988,5,5
1988,7,1
1988,8,1
1988,9,4
1988,10,3
1988,11,1
1988,12,1
1989,2,1
1989,3,2
1989,5,1
1989,6,5
1989,7,1
1989,8,1
1989,9,2
1989,10,7
1989,11,3
1989,12,2
1990,1,3
1990,3,1
1990,4,1
1990,5,1
1990,8,2
1990,9,4
1990,10,2
1990,11,3
1990,12,13
1991,1,51
1991,2,6
1991,3,8
1991,4,4
1991,5,9
1991,6,13
1991,7,11
1991,8,9
1991,9,14
1991,10,3
1991,11,5
1991,12,4
1992,1,5
1992,2,5
1992,3,6
1992,4,3
1992,5,8
1992,6,2
1992,7,4
1992,8,13
1992,9,2
1992,10,12
1992,11,20
1992,12,46
1994,1,1
1994,2,4
1994,3,16
1994,4,15
1994,5,8
1994,6,9
1994,7,19
1994,8,9
1994,9,2
1994,10,2
1994,11,8
1994,12,4
1995,1,5
1995,2,3
1995,3,3
1995,5,2
1995,7,6
1995,8,5
1995,9,13
1995,10,6
1995,11,12
1995,12,16
1996,1,68
1996,2,10
1996,3,13
1996,4,4
1996,5,19
1996,6,10
1996,7,3
1996,8,28
1996,9,25
1996,10,23
1996,11,25
1996,12,42
1997,1,21
1997,2,67
1997,3,7
1997,4,12
1997,5,13
1997,6,2
1997,7,1
1997,9,2
1997,12,5
1998,2,1
1998,7,2
1998,10,6
1998,11,3
1999,1,2
1999,3,8
1999,4,2
1999,5,1
1999,6,4
1999,9,7
1999,10,13
1999,11,9
2000,1,1
2000,3,1
2000,4,5
2000,5,4
2000,6,2
2000,8,4
2000,9,1
2000,10,5
2000,11,3
2000,12,2
2001,1,1
2001,3,2
2001,6,1
2001,7,2
2001,8,6
2001,9,3
2001,10,2
2001,11,1
2001,12,3
2002,1,2
2002,2,5
2002,3,1
2002,4,4
2002,5,4
2002,7,1
2002,10,15
2003,1,7
2003,3,4
2003,4,2
2003,5,4
2003,7,10
2003,8,3
2003,10,3
2003,11,1
2004,1,1
2004,4,2
2004,6,2
2004,7,1
2004,9,2
2004,10,2
2004,11,1
2005,1,3
2005,2,2
2005,3,10
2005,4,2
2005,5,9
2005,7,3
2005,8,1
2005,9,1
2005,12,2
2006,1,9
2006,2,6
2006,3,2
2006,4,6
2006,5,1
2006,7,3
2006,8,1
2006,9,3
2006,10,1
2006,12,2
2007,4,3
2007,6,1
2007,7,1
2007,8,2
2007,11,2
2007,12,7
2008,1,4
2008,4,1
2008,5,1
2008,6,1
2008,8,3
2008,12,3
2009,1,4
2009,3,1
2009,4,1
2009,6,1
2009,7,1
2009,9,1
2010,1,2
2010,12,1
2011,1,3
2011,2,2
2011,4,1
2011,10,1
2011,12,1
2012,3,4
2012,5,26
2012,6,2
2012,7,1
2012,9,8
2012,12,25
2013,1,2
2013,2,1
2013,5,3
2013,7,3
2013,11,4
2013,12,5
2014,1,2
2014,3,3
2014,6,4
2014,9,1
2014,11,1
2014,12,3
2015,1,15
2015,2,1
2015,3,1
2015,4,1
2015,5,2
2015,6,1
2015,7,2
2015,8,2
2015,10,1
2015,11,10
2015,12,2
2016,1,5
2016,2,2
2016,4,2
2016,5,1
2016,6,2
2016,7,5
2016,8,2
2016,9,1
2016,10,1
2016,11,2
2016,12,2
2017,1,1
2017,2,1
2017,3,5
2017,4,5
2017,5,5
2017,6,5
2017,7,2
2017,8,2
2017,9,11
2017,10,4
2017,11,1
2018,1,1
2018,3,5
2018,5,1
2018,6,3
2018,7,1
2018,9,1
2018,12,1
2019,1,2
2019,3,10
2019,4,2
2019,5,1
2019,6,1
2019,8,1
2019,9,1
2019,10,2
2019,12,1
2020,1,3
2020,2,1
2020,4,2
2020,5,6
2020,6,1
2020,7,1
2020,8,4
2020,9,1
2020,10,5
