iyear,imonth,count
1991,8,1
1991,9,2
1992,2,4
1992,3,6
1992,5,1
1992,6,3
1992,7,8
1992,8,7
1992,9,2
1992,10,3
1992,11,3
1992,12,2
1994,1,1
1994,2,2
1994,3,5
1994,4,2
1994,5,2
1994,7,1
1994,9,2
1994,10,1
1994,12,2
1995,1,1
1995,3,3
1995,4,4
1995,5,1
1995,6,2
1995,7,1
1995,8,1
1995,9,1
1995,10,2
1995,11,1
1996,3,1
1996,4,1
1996,11,1
1997,2,1
1997,6,2
1997,7,1
1997,8,1
1997,11,1
1998,2,2
1998,4,2
1998,7,4
1998,8,2
1998,10,2
1999,3,1
1999,4,1
1999,6,1
1999,7,2
1999,10,1
1999,11,1
2000,1,1
2000,5,1
2000,6,1
2000,8,1
2000,10,1
2000,11,1
2000,12,1
2001,7,2
2001,8,2
2002,3,1
2002,6,1
2003,1,2
2003,10,1
2003,12,3
2004,4,1
2004,8,2
2005,2,1
2005,3,1
2005,5,2
2005,6,1
2005,9,1
2006,7,1
2006,8,1
2006,12,1
2008,1,1
2008,2,1
2008,3,1
2008,5,4
2008,6,3
2008,7,13
2008,8,4
2008,9,1
2008,10,1
2008,11,2
2008,12,2
2009,1,1
2009,2,1
2009,3,4
2009,5,5
2009,6,5
2009,7,1
2009,8,4
2009,9,2
2009,10,2
2010,1,1
2010,3,1
2010,7,1
2010,9,1
2010,10,1
2010,11,2
2011,2,1
2011,9,1
2011,12,1
2012,2,2
2012,5,1
2013,2,1
2013,9,1
2014,2,1
2014,3,1
2015,4,1
2016,2,1
2016,10,3
2017,10,1
2018,2,1
2020,11,1
