iyear,imonth,count
1990,10,1
1991,1,5
1991,2,7
1991,3,3
1991,4,2
1991,5,3
1991,6,2
1991,7,8
1991,8,5
1991,9,1
1991,10,17
1991,11,10
1991,12,3
1992,1,4
1992,2,1
1992,3,17
1992,4,6
1992,5,6
1992,6,5
1992,7,4
1992,8,9
1992,9,58
1992,10,23
1992,11,17
1992,12,6
1994,1,6
1994,2,2
1994,3,12
1994,4,10
1994,5,8
1994,6,2
1994,7,3
1994,8,9
1994,9,12
1994,10,4
1994,11,7
1994,12,4
1995,1,1
1995,2,9
1995,3,41
1995,4,11
1995,5,1
1995,6,2
1995,7,55
1995,8,7
1995,9,3
1995,10,5
1995,11,7
1995,12,5
1996,1,11
1996,2,2
1996,3,6
1996,4,6
1996,5,3
1996,6,1
1996,7,21
1996,10,2
1997,2,1
1997,3,2
1997,5,2
1997,6,1
1997,7,1
1997,8,2
1997,10,1
1997,12,2
1998,3,2
1998,11,2
1998,12,2
1999,2,4
1999,3,1
1999,4,1
1999,5,1
1999,6,4
1999,7,2
2000,1,1
2000,4,1
2000,7,3
2000,8,1
2000,9,1
2000,10,1
2001,1,1
2001,5,2
2001,6,2
2001,8,3
2002,3,1
2002,4,1
2002,8,1
2003,4,1
2003,12,1
2004,2,2
2004,6,1
2005,5,1
2005,6,2
2006,4,3
2006,7,1
2007,3,2
2007,4,1
2008,2,1
2008,4,1
2008,12,1
2009,3,1
2009,7,1
2009,12,2
2010,11,1
2011,1,1
2011,3,1
2011,10,5
2011,12,1
2012,1,1
2012,5,2
2012,10,1
2012,12,1
2014,1,1
2014,7,2
2014,8,5
2014,9,2
2014,10,2
2014,11,1
2014,12,1
2015,1,1
2015,2,1
2015,3,2
2015,4,4
2015,5,2
2015,6,3
2015,7,5
2015,8,6
2015,9,12
2015,10,11
2015,11,7
2015,12,14
2016,1,9
2016,2,7
2016,3,1
2016,4,1
2016,5,1
2016,7,3
2016,8,2
2016,9,8
2016,10,4
2016,11,6
2016,12,3
2017,1,1
2017,2,1
2017,3,5
2017,4,3
2017,6,11
2017,7,3
2017,8,1
2017,11,1
2017,12,2
2018,1,1
2018,2,4
2018,3,9
2018,7,1
2018,9,3
2018,10,3
2018,12,3
2019,1,5
2019,5,2
2019,6,1
2019,7,1
2019,8,1
2019,10,6
2019,11,1
2020,1,2
2020,2,8
2020,3,2
2020,4,4
2020,5,2
2020,6,4
2020,7,1
2020,8,2
2020,9,1
2020,10,5
2020,11,1
2020,12,1
