iyear,imonth,count
1970,1,1
1970,7,1
1970,9,1
1971,5,1
1972,8,1
1972,12,1
1973,1,2
1973,2,1
1973,3,1
1973,4,1
1973,5,4
1973,8,1
1973,12,1
1974,1,1
1974,2,1
1974,6,2
1974,9,2
1975,9,1
1975,11,2
1975,12,1
1976,2,2
1976,3,1
1976,4,5
1976,5,1
1976,6,1
1976,7,1
1976,9,1
1976,10,2
1976,11,4
1976,12,3
1977,1,2
1977,2,4
1977,3,11
1977,4,3
1977,5,4
1977,6,4
1977,7,7
1977,10,1
1977,12,11
1978,1,2
1978,8,1
1978,10,2
1978,12,34
1979,1,1
1979,4,2
1979,5,1
1979,7,1
1979,8,1
1979,11,3
1980,1,1
1980,4,1
1980,5,2
1980,6,1
1980,7,1
1980,8,4
1980,9,1
1980,10,1
1980,11,1
1980,12,2
1981,2,1
1981,3,1
1981,4,4
1981,5,4
1981,6,2
1981,7,3
1981,8,2
1981,10,3
1982,3,4
1982,4,4
1982,6,3
1982,7,5
1982,8,1
1982,10,1
1982,12,1
1983,2,1
1983,4,2
1983,5,2
1983,6,2
1983,8,1
1983,11,2
1983,12,1
1984,2,4
1984,3,3
1984,4,1
1984,5,2
1984,6,3
1984,7,1
1984,11,12
1984,12,2
1985,2,2
1985,3,5
1985,4,3
1985,5,4
1985,6,1
1985,7,1
1985,9,6
1985,10,9
1985,11,4
1986,1,3
1986,2,1
1986,3,7
1986,4,2
1986,5,1
1986,6,7
1986,7,3
1986,8,2
1986,10,10
1986,11,5
1987,1,1
1987,2,3
1987,3,1
1987,4,4
1987,5,4
1987,6,2
1987,8,6
1987,9,1
1987,10,2
1987,12,2
1988,1,1
1988,3,4
1988,4,2
1988,5,11
1988,6,2
1988,7,6
1988,8,1
1988,11,2
1988,12,9
1989,1,3
1989,2,4
1989,3,5
1989,4,3
1989,5,4
1989,6,11
1989,7,2
1989,8,1
1989,9,4
1989,10,7
1989,11,1
1989,12,5
1990,2,5
1990,3,7
1990,4,6
1990,5,18
1990,6,8
1990,7,6
1990,8,2
1990,11,1
1990,12,2
1991,1,10
1991,2,8
1991,3,9
1991,4,6
1991,5,4
1991,6,2
1991,7,10
1991,8,1
1991,9,2
1991,10,1
1991,11,2
1991,12,2
1992,1,2
1992,2,1
1992,3,10
1992,4,1
1992,5,1
1992,7,1
1992,8,1
1992,9,5
1992,11,7
1992,12,6
1994,1,1
1994,2,1
1994,3,2
1994,4,9
1994,5,5
1994,6,3
1994,7,7
1994,8,9
1994,9,1
1994,11,2
1994,12,2
1995,1,2
1995,6,1
1995,8,2
1995,11,2
1995,12,1
1996,1,1
1996,2,2
1996,4,2
1996,5,2
1996,10,2
1996,11,8
1996,12,3
1997,1,1
1997,2,1
1997,4,5
1997,5,1
1997,6,1
1997,8,1
1997,9,2
1997,10,1
1997,11,5
1997,12,3
1998,1,7
1998,2,2
1998,3,2
1998,4,3
1998,5,4
1998,6,1
1998,7,5
1998,10,1
1998,11,1
1998,12,2
1999,1,2
1999,2,1
1999,3,4
1999,4,5
1999,5,9
1999,7,3
1999,10,1
1999,11,9
1999,12,1
2000,1,3
2000,2,1
2000,3,2
2000,4,4
2000,6,1
2000,7,2
2000,8,2
2000,9,7
2000,10,1
2000,11,4
2000,12,1
2001,1,5
2001,3,3
2001,4,1
2001,7,3
2001,11,1
2001,12,1
2002,1,2
2002,2,3
2002,6,3
2002,7,2
2003,3,3
2003,7,1
2003,9,1
2003,11,3
2003,12,4
2004,4,1
2004,5,2
2004,10,1
2005,1,1
2005,5,1
2005,6,1
2005,11,1
2005,12,2
2006,1,12
2006,2,10
2006,5,1
2007,1,3
2007,6,10
2007,7,1
2007,11,1
2008,1,1
2008,2,14
2008,3,1
2008,4,6
2008,5,4
2008,6,4
2008,7,2
2008,8,1
2008,9,9
2008,10,3
2008,11,7
2008,12,1
2009,1,2
2009,2,24
2009,3,20
2009,4,9
2009,5,11
2009,6,8
2009,7,20
2009,8,3
2009,9,2
2009,10,6
2009,11,4
2009,12,6
2010,1,7
2010,2,4
2010,3,8
2010,4,7
2010,5,4
2010,6,3
2010,7,1
2010,8,1
2010,9,2
2010,11,11
2010,12,1
2011,1,2
2011,2,1
2011,3,2
2011,4,1
2011,5,1
2011,10,1
2011,11,2
2011,12,1
2012,1,1
2012,2,2
2012,3,3
2012,4,3
2012,5,1
2012,6,4
2012,8,3
2012,9,2
2012,10,1
2012,11,2
2012,12,2
2013,1,13
2013,2,4
2013,3,8
2013,4,2
2013,6,5
2013,7,8
2013,8,3
2013,9,6
2013,10,1
2013,11,2
2013,12,4
2014,1,3
2014,3,2
2014,4,5
2014,5,2
2014,7,1
2014,8,2
2014,10,1
2014,11,9
2014,12,2
2015,1,3
2015,2,3
2015,3,2
2015,4,3
2015,6,2
2015,9,2
2015,10,1
2015,11,7
2015,12,7
2016,1,1
2016,2,6
2016,3,1
2016,4,2
2016,6,6
2016,7,6
2016,8,2
2016,10,2
2016,11,2
2016,12,2
2017,1,8
2017,2,4
2017,3,8
2017,4,1
2017,5,2
2017,6,1
2017,7,2
2017,8,1
2017,10,5
2017,11,5
2017,12,7
2018,2,7
2018,3,3
2018,5,2
2018,6,2
2018,7,1
2018,8,1
2018,9,2
2018,10,3
2018,11,1
2018,12,4
2019,1,2
2019,2,6
2019,3,3
2019,5,5
2019,6,3
2019,7,1
2019,9,2
2019,10,2
2019,11,2
2019,12,6
2020,1,24
2020,2,2
2020,3,4
2020,4,1
2020,5,10
2020,6,1
2020,7,3
2020,9,2
2020,10,1
2020,11,1
2020,12,1
