iyear,imonth,count
1970,1,1
1970,3,2
1970,7,1
1971,1,1
1974,3,1
1975,6,1
1975,8,1
1975,11,1
1975,12,2
1976,1,1
1976,2,1
1976,5,3
1976,6,1
1976,7,1
1976,8,1
1976,9,1
1976,11,4
1977,2,1
1977,5,1
1977,7,1
1977,9,1
1977,10,1
1977,12,3
1978,1,1
1978,3,2
1978,4,1
1978,5,1
1978,6,3
1978,7,2
1978,9,5
1978,10,9
1978,11,1
1978,12,4
1979,1,5
1979,2,6
1979,3,2
1979,4,2
1979,5,4
1979,6,3
1979,7,2
1979,8,3
1979,9,3
1979,10,11
1979,11,12
1979,12,7
1980,1,6
1980,2,14
1980,3,23
1980,4,22
1980,5,42
1980,6,29
1980,7,30
1980,8,30
1980,9,22
1980,10,32
1980,11,22
1980,12,9
1981,1,17
1981,2,23
1981,3,24
1981,4,23
1981,5,36
1981,6,36
1981,7,32
1981,8,42
1981,9,34
1981,10,30
1981,11,37
1981,12,65
1982,1,73
1982,2,42
1982,3,49
1982,4,33
1982,5,49
1982,6,32
1982,7,24
1982,8,12
1982,9,13
1982,10,16
1982,11,3
1982,12,8
1983,1,24
1983,2,2
1983,3,3
1983,4,2
1983,5,11
1983,6,6
1983,7,2
1983,8,9
1983,9,17
1983,10,13
1983,11,15
1983,12,13
1984,1,16
1984,2,13
1984,3,8
1984,4,6
1984,6,4
1984,7,1
1984,8,4
1984,9,8
1984,10,7
1984,11,6
1984,12,1
1985,1,8
1985,2,3
1985,3,4
1985,4,2
1985,5,8
1985,6,8
1985,7,10
1985,8,6
1985,9,4
1985,10,7
1985,12,3
1986,1,1
1986,2,2
1986,3,7
1986,5,1
1986,6,7
1986,7,3
1986,8,5
1986,9,1
1986,11,2
1986,12,2
1987,2,1
1987,3,2
1987,4,5
1987,5,4
1987,6,2
1987,7,6
1987,8,18
1987,10,8
1987,11,7
1987,12,3
1988,1,3
1988,2,6
1988,4,1
1988,5,7
1988,6,2
1988,7,2
1988,9,2
1988,10,4
1988,11,2
1989,1,1
1989,2,3
1989,3,1
1989,4,4
1989,5,4
1989,6,2
1989,7,15
1989,8,13
1989,9,10
1989,10,16
1989,11,4
1989,12,6
1990,1,7
1990,2,4
1990,3,18
1990,4,5
1990,5,14
1990,6,4
1990,7,6
1990,9,2
1990,10,9
1990,11,10
1990,12,4
1991,1,14
1991,2,6
1991,3,5
1991,4,1
1991,5,6
1991,6,6
1991,7,5
1991,8,11
1991,9,16
1991,11,1
1991,12,6
1992,1,8
1992,2,7
1992,3,3
1992,4,4
1992,5,8
1992,6,2
1992,7,1
1992,8,3
1992,9,2
1992,10,4
1992,11,3
1992,12,3
1994,1,14
1994,2,12
1994,3,9
1994,4,5
1994,5,2
1994,6,13
1994,7,8
1994,8,3
1994,9,9
1994,10,3
1994,11,3
1994,12,3
1995,1,13
1995,2,24
1995,3,4
1995,4,1
1995,5,3
1995,6,4
1995,7,18
1995,9,1
1995,10,3
1995,11,7
1995,12,4
1996,1,5
1996,2,9
1996,3,1
1996,4,1
1996,5,4
1996,8,4
1996,10,1
1996,11,1
1997,1,1
1997,3,2
1997,4,1
1997,5,1
1997,6,7
1997,7,2
1997,8,1
1997,9,2
1997,10,3
1997,11,6
1999,11,1
2000,7,1
2001,2,2
2003,1,3
2004,9,2
2006,4,4
2012,1,1
2013,1,1
2013,3,1
2013,8,4
2018,8,2
2020,8,2
2020,11,1
