iyear,imonth,count
1973,1,1
1974,5,1
1974,6,1
1983,1,4
1983,3,2
1987,10,1
1987,11,7
1987,12,2
1988,1,1
1988,2,2
1988,3,1
1988,10,1
1988,11,1
1989,4,1
1989,5,1
1989,8,1
1990,6,1
1990,12,2
1991,2,1
1991,3,2
1991,4,2
1991,9,1
1991,10,6
1991,11,3
1991,12,2
1992,1,3
1992,2,1
1992,3,1
1992,5,7
1992,6,1
1992,8,5
1992,9,2
1992,10,1
1992,11,4
1992,12,2
1994,3,2
1994,4,1
1994,5,1
1994,7,2
1994,8,4
1994,9,7
1994,10,7
1994,11,3
1995,1,4
1995,2,4
1995,3,5
1995,4,2
1995,5,2
1995,6,2
1995,7,2
1995,8,1
1995,9,1
1995,10,2
1995,11,2
1995,12,7
1996,1,2
1996,4,2
1996,5,7
1996,6,2
1996,7,1
1996,8,10
1996,9,3
1997,1,2
1997,2,2
1997,3,2
1997,4,3
1997,5,1
1997,7,3
1997,8,1
1997,10,2
1998,9,1
1999,1,1
1999,4,1
1999,9,1
1999,10,2
2000,4,2
2000,5,2
2000,11,5
2001,1,4
2001,3,1
2002,5,2
2003,7,1
2003,10,4
2004,2,1
2004,3,1
2005,10,1
2006,1,1
2007,4,1
2007,11,1
2016,5,1
2018,5,1
2018,8,1
2018,10,1
2018,12,2
2019,6,1
2019,7,1
2019,8,1
2019,10,1
2020,2,2
