iyear,imonth,count
1973,7,1
1979,2,1
1979,5,2
1979,9,2
1979,10,1
1980,2,1
1980,3,1
1980,4,3
1980,7,2
1980,8,2
1980,10,2
1980,11,1
1980,12,4
1981,1,3
1981,2,2
1981,3,2
1981,4,1
1981,7,1
1981,8,1
1981,9,2
1981,10,1
1981,11,3
1981,12,1
1982,1,3
1982,4,9
1982,7,3
1982,8,5
1982,9,3
1982,10,1
1982,11,8
1982,12,2
1983,3,4
1983,4,1
1983,5,1
1983,8,5
1983,9,14
1983,10,2
1983,11,2
1984,1,1
1984,3,5
1984,4,1
1984,5,1
1984,6,2
1984,8,1
1984,9,1
1985,3,1
1985,5,1
1985,7,3
1985,8,2
1985,9,2
1986,7,2
1986,8,4
1986,10,1
1986,12,1
1987,1,5
1987,3,4
1987,4,2
1987,6,2
1987,8,2
1987,9,2
1987,10,3
1988,1,3
1988,2,1
1988,4,6
1988,5,1
1988,7,3
1988,8,1
1988,10,3
1988,11,3
1989,1,3
1989,2,9
1989,4,2
1989,7,11
1989,10,1
1989,11,3
1990,3,3
1990,4,2
1990,5,1
1990,6,1
1990,10,1
1990,12,5
1991,1,1
1991,3,1
1991,4,1
1991,5,1
1991,6,3
1991,7,4
1991,8,2
1991,10,2
1991,11,2
1991,12,4
1992,1,1
1992,2,1
1992,5,6
1992,7,1
1992,8,1
1992,9,1
1992,10,1
1994,3,1
1994,4,1
1994,5,1
1994,7,1
1994,8,1
1994,9,1
1995,1,1
1995,3,2
1995,4,1
1995,9,5
1995,10,3
1996,3,1
1996,4,1
1996,6,2
1996,8,1
1996,10,4
1996,11,2
1996,12,8
1997,1,4
1997,2,5
1997,3,2
1997,4,5
1997,6,1
1997,8,1
1997,9,1
1997,10,1
1997,11,2
2002,5,1
2004,12,1
2009,11,8
2011,12,1
2013,8,1
2013,11,1
2014,5,1
2016,10,1
2017,5,1
2019,3,1
2019,7,2
2019,8,1
2019,9,1
2020,3,1
2020,9,1
