iyear,imonth,count
1972,2,1
1975,1,1
1976,5,1
1977,9,1
1979,1,2
1979,4,1
1979,6,1
1979,7,3
1979,8,8
1979,9,2
1979,12,3
1980,1,2
1980,3,2
1980,4,2
1980,8,1
1980,11,1
1980,12,2
1981,1,2
1981,2,1
1981,3,1
1981,4,3
1981,6,1
1981,7,1
1981,8,2
1981,9,3
1981,10,1
1981,11,1
1982,2,1
1982,6,5
1982,8,2
1982,10,3
1982,11,1
1982,12,1
1983,1,1
1983,2,5
1983,3,10
1983,4,5
1983,6,2
1983,8,1
1983,9,6
1983,10,10
1983,11,6
1983,12,1
1984,2,15
1984,3,10
1984,4,75
1984,5,27
1984,6,15
1984,7,3
1984,8,4
1984,9,4
1984,10,3
1984,11,1
1984,12,2
1985,2,4
1985,3,2
1985,4,3
1985,5,8
1985,6,7
1985,7,1
1985,8,2
1985,9,4
1985,10,2
1985,11,6
1986,1,5
1986,2,5
1986,3,15
1986,4,6
1986,5,3
1986,6,13
1986,7,6
1986,8,2
1986,9,6
1986,10,10
1986,11,5
1986,12,20
1987,1,21
1987,2,6
1987,3,4
1987,4,4
1987,5,1
1987,6,36
1987,7,20
1987,8,20
1987,9,15
1987,10,22
1987,11,5
1987,12,12
1988,1,51
1988,2,34
1988,3,39
1988,4,24
1988,5,36
1988,6,38
1988,7,39
1988,8,35
1988,9,24
1988,10,11
1988,11,15
1988,12,12
1989,1,27
1989,2,31
1989,3,35
1989,4,17
1989,5,29
1989,6,25
1989,7,15
1989,8,42
1989,9,24
1989,10,20
1989,11,33
1989,12,26
1990,1,32
1990,2,43
1990,3,38
1990,4,49
1990,5,21
1990,6,42
1990,7,43
1990,8,13
1990,9,17
1990,10,19
1990,11,22
1990,12,10
1991,1,21
1991,2,10
1991,3,17
1991,4,24
1991,5,25
1991,6,36
1991,7,51
1991,8,45
1991,9,29
1991,10,45
1991,11,21
1991,12,15
1992,1,14
1992,2,26
1992,3,21
1992,4,32
1992,5,25
1992,6,7
1992,7,10
1992,8,24
1992,9,18
1992,10,27
1992,11,7
1992,12,26
1994,1,10
1994,2,3
1994,3,4
1994,4,8
1994,5,11
1994,6,5
1994,7,25
1994,8,5
1994,9,7
1994,10,9
1994,11,10
1994,12,10
1995,1,5
1995,2,24
1995,3,17
1995,4,9
1995,5,57
1995,6,3
1995,7,13
1995,8,20
1995,9,12
1995,10,6
1995,11,9
1995,12,4
1996,1,10
1996,2,6
1996,3,13
1996,4,31
1996,5,58
1996,6,3
1996,7,10
1996,8,8
1996,9,33
1996,10,14
1996,11,9
1996,12,18
1997,1,17
1997,2,14
1997,3,16
1997,4,9
1997,5,9
1997,6,18
1997,7,24
1997,8,28
1997,9,4
1997,10,18
1997,11,22
1997,12,14
1998,1,2
1998,2,17
1998,4,2
1998,5,2
1998,6,1
1998,7,6
1998,8,9
1998,9,2
1998,10,10
1998,11,8
1998,12,2
1999,1,3
1999,2,2
1999,3,6
1999,4,2
1999,5,10
1999,6,10
1999,7,15
1999,8,21
1999,9,9
1999,10,13
1999,11,11
1999,12,10
2000,1,17
2000,2,13
2000,3,13
2000,4,17
2000,5,13
2000,6,16
2000,7,14
2000,8,18
2000,9,18
2000,10,13
2000,11,13
2000,12,15
2001,1,17
2001,2,11
2001,3,14
2001,4,17
2001,5,11
2001,6,9
2001,7,4
2001,8,96
2001,9,16
2001,10,11
2001,11,16
2001,12,12
2002,1,21
2002,2,16
2002,3,7
2002,4,8
2002,5,17
2002,6,10
2002,7,18
2002,8,19
2002,9,18
2002,10,10
2002,11,25
2002,12,15
2003,1,47
2003,2,11
2003,3,31
2003,4,14
2003,5,25
2003,6,11
2003,7,17
2003,8,2
2003,9,16
2003,10,5
2003,11,14
2003,12,3
2004,1,13
2004,2,4
2004,3,4
2004,4,18
2004,5,5
2004,6,17
2004,7,12
2004,8,13
2004,9,4
2004,10,9
2004,11,3
2004,12,6
2005,1,18
2005,2,4
2005,3,7
2005,4,12
2005,5,14
2005,6,14
2005,7,15
2005,8,34
2005,9,7
2005,10,13
2005,11,5
2005,12,3
2006,1,17
2006,2,19
2006,3,4
2006,4,31
2006,5,16
2006,6,10
2006,7,10
2006,8,16
2006,9,8
2006,10,13
2006,11,16
2006,12,7
2007,1,17
2007,2,11
2007,3,5
2007,4,11
2007,5,8
2007,6,29
2007,7,9
2007,8,9
2007,9,7
2007,10,11
2007,11,31
2007,12,2
2008,1,13
2008,2,3
2008,3,19
2008,4,43
2008,5,55
2008,6,52
2008,7,103
2008,8,44
2008,9,42
2008,10,46
2008,11,65
2008,12,50
2009,1,37
2009,2,25
2009,3,49
2009,4,95
2009,5,71
2009,6,83
2009,7,59
2009,8,51
2009,9,38
2009,10,95
2009,11,40
2009,12,29
2010,1,52
2010,2,48
2010,3,57
2010,4,64
2010,5,66
2010,6,35
2010,7,56
2010,8,37
2010,9,61
2010,10,48
2010,11,75
2010,12,64
2011,1,44
2011,2,60
2011,3,59
2011,4,78
2011,5,79
2011,6,54
2011,7,43
2011,8,61
2011,9,43
2011,10,46
2011,11,35
2011,12,43
2012,1,52
2012,2,31
2012,3,45
2012,4,40
2012,5,67
2012,6,70
2012,7,57
2012,8,62
2012,9,54
2012,10,58
2012,11,54
2012,12,23
2013,1,56
2013,2,52
2013,3,33
2013,4,69
2013,5,46
2013,6,39
2013,7,80
2013,8,53
2013,9,53
2013,10,53
2013,11,87
2013,12,73
2014,1,76
2014,2,52
2014,3,58
2014,4,152
2014,5,76
2014,6,64
2014,7,66
2014,8,79
2014,9,46
2014,10,39
2014,11,76
2014,12,76
2015,1,85
2015,2,63
2015,3,53
2015,4,60
2015,5,95
2015,6,65
2015,7,74
2015,8,92
2015,9,64
2015,10,106
2015,11,72
2015,12,56
2016,1,95
2016,2,79
2016,3,82
2016,4,90
2016,5,95
2016,6,79
2016,7,61
2016,8,108
2016,9,75
2016,10,100
2016,11,83
2016,12,80
2017,1,76
2017,2,76
2017,3,94
2017,4,76
2017,5,102
2017,6,96
2017,7,91
2017,8,74
2017,9,61
2017,10,94
2017,11,59
2017,12,68
2018,1,74
2018,2,61
2018,3,59
2018,4,61
2018,5,98
2018,6,91
2018,7,77
2018,8,80
2018,9,68
2018,10,80
2018,11,94
2018,12,46
2019,1,56
2019,2,34
2019,3,53
2019,4,89
2019,5,86
2019,6,55
2019,7,50
2019,8,26
2019,9,25
2019,10,53
2019,11,47
2019,12,48
2020,1,50
2020,2,43
2020,3,34
2020,4,33
2020,5,30
2020,6,36
2020,7,34
2020,8,36
2020,9,39
2020,10,42
2020,11,30
2020,12,43
