iyear,imonth,count
1977,11,1
1978,5,1
1978,10,1
1981,3,1
1984,3,1
1984,12,1
1985,1,1
1985,3,1
1986,5,3
1986,6,1
1989,1,1
1989,9,1
1990,5,1
1990,6,2
1991,1,1
1991,2,1
1991,4,2
1991,9,1
1991,11,1
1991,12,1
1992,1,1
1992,3,1
1992,10,1
1992,12,1
1994,4,1
1994,6,1
1994,7,1
1994,10,1
1994,11,1
1995,2,2
1995,5,1
1995,6,1
1995,7,3
1995,8,1
1995,9,6
1995,10,5
1995,11,3
1995,12,2
1996,1,4
1996,3,2
1996,4,2
1996,7,10
1996,8,3
1996,9,1
1996,10,37
1996,11,3
1996,12,3
1997,1,1
1997,2,1
1997,3,2
1997,4,7
1997,5,8
1997,6,2
1997,7,1
1997,8,1
1997,9,3
1997,10,1
1998,2,1
1998,11,2
1999,4,2
1999,5,11
1999,6,9
1999,7,11
1999,8,1
1999,9,15
1999,10,8
1999,11,3
2000,1,4
2000,2,2
2000,3,1
2000,4,1
2000,5,5
2000,6,2
2000,7,3
2000,8,3
2000,9,23
2000,10,4
2000,11,9
2000,12,44
2001,1,5
2001,2,5
2001,3,8
2001,4,3
2001,5,3
2001,6,2
2001,7,2
2001,8,56
2001,9,2
2001,10,2
2001,11,14
2001,12,4
2002,1,3
2002,2,3
2002,4,3
2002,5,1
2002,6,6
2002,7,3
2002,8,9
2002,9,6
2002,10,7
2002,11,1
2002,12,1
2003,1,4
2003,2,1
2003,3,1
2003,4,3
2003,5,3
2003,7,2
2003,8,1
2003,11,1
2003,12,2
2004,1,2
2004,4,2
2004,5,2
2004,6,1
2004,7,2
2004,8,1
2004,9,1
2004,10,4
2004,11,1
2004,12,1
2005,1,3
2005,4,1
2005,5,4
2005,6,2
2005,8,1
2005,10,4
2006,1,2
2006,2,1
2006,4,2
2006,9,1
2006,10,1
2006,11,3
2007,4,1
2007,6,1
2008,6,2
2008,7,2
2008,9,3
2008,10,3
2008,11,3
2009,1,2
2009,2,2
2009,3,1
2009,4,1
2009,5,1
2009,7,4
2009,8,2
2009,9,1
2009,10,3
2009,11,2
2010,1,4
2011,3,6
2011,4,3
2011,6,1
2011,7,1
2011,8,2
2011,9,1
2011,10,3
2011,11,2
2011,12,2
2012,1,2
2012,2,1
2012,3,2
2012,4,3
2012,5,5
2012,6,1
2012,7,1
2012,8,2
2012,9,3
2012,10,11
2012,11,6
2012,12,2
2013,1,1
2013,2,10
2013,3,1
2013,4,1
2013,5,2
2013,6,3
2013,7,3
2013,8,5
2013,9,4
2013,11,1
2013,12,1
2014,1,2
2014,2,5
2014,3,4
2014,4,2
2014,5,4
2014,6,1
2014,7,5
2014,8,2
2014,9,3
2014,10,2
2014,11,2
2014,12,3
2015,1,2
2015,2,2
2015,3,2
2015,5,1
2015,6,1
2015,7,6
2015,8,2
2015,9,5
2015,10,4
2015,11,2
2015,12,2
2016,1,6
2016,3,1
2016,7,1
2016,8,1
2016,10,3
2016,11,6
2016,12,1
2017,2,1
2017,4,4
2017,5,2
2017,6,2
2017,7,1
2017,8,1
2017,9,3
2017,10,4
2017,11,7
2017,12,2
2018,1,1
2018,2,3
2018,3,4
2018,4,3
2018,5,12
2018,6,7
2018,7,2
2018,8,2
2018,10,1
2018,11,4
2018,12,4
2019,1,4
2019,2,2
2019,3,2
2019,4,1
2019,5,1
2019,6,1
2019,7,2
2019,8,3
2019,10,3
2019,11,3
2019,12,4
2020,1,1
2020,2,2
2020,3,4
2020,4,1
2020,5,1
2020,6,2
2020,7,1
2020,8,2
2020,9,3
2020,10,1
2020,11,1
