iyear,imonth,count
1970,6,2
1970,10,2
1970,11,1
1971,2,1
1971,4,4
1971,5,3
1971,9,1
1971,10,1
1971,11,1
1972,1,3
1972,4,1
1972,5,7
1972,8,4
1973,1,3
1973,6,1
1974,3,1
1974,4,2
1974,5,4
1974,8,1
1974,10,3
1975,1,1
1975,3,4
1975,5,3
1975,6,2
1975,7,2
1975,12,1
1976,2,1
1976,3,1
1976,4,1
1976,8,1
1977,4,1
1977,5,2
1977,6,1
1977,12,1
1978,5,2
1978,6,1
1978,8,2
1978,9,2
1978,10,6
1978,11,4
1978,12,10
1979,1,3
1979,2,6
1979,3,2
1979,4,3
1979,5,2
1979,6,10
1979,7,26
1979,8,6
1979,9,4
1979,10,10
1979,11,4
1979,12,6
1980,1,5
1980,2,3
1980,3,24
1980,4,19
1980,5,6
1980,6,2
1980,7,3
1980,8,1
1980,11,2
1980,12,2
1981,1,1
1981,2,1
1981,3,2
1981,4,5
1981,5,2
1981,6,8
1981,7,25
1981,8,29
1981,9,12
1981,10,15
1981,11,4
1981,12,4
1982,1,3
1982,2,6
1982,3,3
1982,4,2
1982,5,2
1982,6,2
1982,7,1
1982,9,5
1982,10,2
1983,7,4
1983,8,3
1983,9,1
1983,10,1
1983,11,1
1984,2,1
1984,3,3
1984,4,2
1984,8,2
1984,9,4
1984,10,1
1984,12,4
1985,2,1
1985,3,1
1985,5,1
1986,2,1
1986,7,1
1986,8,3
1986,11,1
1987,6,1
1988,2,2
1988,3,1
1988,5,1
1988,6,1
1988,12,1
1989,4,3
1989,9,2
1989,10,1
1990,1,1
1990,4,5
1990,6,2
1990,9,3
1991,2,6
1991,4,1
1991,8,2
1992,3,1
1992,4,1
1992,5,1
1992,6,1
1992,8,1
1992,9,1
1992,10,10
1994,1,3
1994,2,1
1994,3,29
1994,4,3
1994,6,2
1994,7,2
1994,8,2
1994,9,1
1995,2,1
1995,6,1
1995,7,1
1995,8,3
1995,9,1
1995,10,1
1996,4,1
1996,6,1
1996,10,1
1998,6,3
1998,8,1
1998,9,1
1999,1,1
1999,2,1
1999,4,1
1999,7,1
1999,9,1
1999,10,1
1999,11,2
2000,1,1
2000,2,2
2000,3,2
2000,5,2
2000,6,1
2000,7,1
2000,9,1
2000,10,4
2000,11,1
2001,1,1
2001,2,2
2001,8,1
2003,9,1
2003,11,1
2005,6,2
2005,8,1
2005,10,2
2006,1,3
2006,2,4
2006,3,1
2006,4,2
2006,5,2
2006,6,1
2006,9,1
2007,2,3
2007,6,1
2007,8,2
2007,10,2
2007,11,1
2008,1,1
2008,4,2
2008,5,1
2008,6,2
2008,10,1
2008,12,1
2009,1,1
2009,2,2
2009,3,3
2009,4,1
2009,5,3
2009,6,3
2009,9,1
2009,10,1
2010,1,2
2010,4,1
2010,5,3
2010,6,1
2010,7,1
2010,9,2
2010,10,1
2010,11,2
2010,12,1
2011,2,1
2011,3,2
2011,4,4
2011,7,4
2011,9,1
2011,10,1
2012,1,2
2012,4,1
2012,10,2
2013,2,1
2013,6,1
2013,7,1
2013,9,1
2013,10,1
2013,11,4
2013,12,2
2014,2,2
2014,9,1
2014,10,4
2014,11,1
2014,12,1
2015,1,1
2015,4,2
2015,8,1
2015,10,1
2015,11,2
2015,12,2
2016,5,1
2016,6,2
2016,7,3
2016,8,1
2016,10,1
2016,12,2
2017,1,1
2017,3,1
2017,4,3
2017,5,1
2017,6,2
2017,7,1
2017,9,1
2017,12,1
2018,2,1
2018,3,1
2018,4,1
2018,6,2
2018,7,2
2018,8,2
2018,9,2
2018,10,1
2018,12,1
2019,1,3
2019,2,2
2019,4,1
2019,7,2
2020,1,1
2020,5,1
2020,6,1
2020,7,2
2020,8,1
2020,11,1
