iyear,imonth,count
1975,3,1
1976,12,3
1979,6,1
1979,11,1
1980,1,1
1980,3,1
1980,4,1
1980,6,1
1980,7,1
1980,11,1
1981,1,1
1981,5,1
1981,6,1
1982,1,1
1982,3,1
1982,6,1
1982,8,1
1982,12,1
1983,3,2
1983,4,1
1984,3,1
1984,6,1
1987,6,1
1987,9,1
1987,10,1
1988,2,1
1988,8,2
1988,11,1
1989,4,1
1989,7,1
1989,9,1
1989,10,1
1991,7,1
1991,12,2
1992,3,1
1992,4,1
1992,5,4
1992,7,8
1992,8,4
1992,10,5
1992,11,9
1992,12,3
1994,1,1
1994,3,1
1994,4,2
1994,5,1
1994,6,3
1994,8,2
1994,9,5
1994,10,3
1995,1,1
1995,2,2
1995,3,2
1995,4,3
1995,5,1
1995,7,1
1995,8,1
1995,9,2
1995,10,1
1995,11,2
1995,12,1
1996,1,3
1996,4,2
1996,5,2
1996,6,1
1996,7,1
1996,11,2
1996,12,1
1997,1,1
1997,2,1
1997,3,1
1997,4,2
1997,5,2
1997,6,1
1997,8,2
1997,9,4
1997,10,3
1997,11,2
1997,12,2
1998,1,1
1998,8,3
1998,10,2
1998,11,1
1999,2,1
1999,3,3
1999,5,2
1999,6,4
1999,7,1
1999,11,1
2000,1,3
2000,5,2
2000,6,4
2000,11,1
2001,3,1
2001,4,1
2001,7,1
2002,2,1
2002,4,1
2002,8,3
2002,11,1
2003,2,2
2003,3,3
2003,4,1
2003,5,7
2003,7,8
2003,8,3
2003,9,16
2003,10,14
2003,11,26
2003,12,22
2004,1,20
2004,2,15
2004,3,7
2004,4,22
2004,5,20
2004,6,37
2004,7,36
2004,8,21
2004,9,33
2004,10,52
2004,11,37
2004,12,23
2005,1,66
2005,2,21
2005,3,80
2005,4,73
2005,5,82
2005,6,16
2005,7,107
2005,8,77
2005,9,32
2005,10,28
2005,11,18
2005,12,17
2006,1,59
2006,2,199
2006,3,48
2006,4,114
2006,5,44
2006,6,18
2006,7,87
2006,8,52
2006,9,42
2006,10,65
2006,11,46
2006,12,63
2007,1,51
2007,2,58
2007,3,100
2007,4,48
2007,5,39
2007,6,223
2007,7,62
2007,8,27
2007,9,29
2007,10,198
2007,11,157
2007,12,53
2008,1,101
2008,2,32
2008,3,94
2008,4,171
2008,5,112
2008,6,126
2008,7,111
2008,8,87
2008,9,39
2008,10,65
2008,11,86
2008,12,82
2009,1,97
2009,2,74
2009,3,86
2009,4,95
2009,5,85
2009,6,75
2009,7,95
2009,8,85
2009,9,90
2009,10,116
2009,11,103
2009,12,136
2010,1,43
2010,2,126
2010,3,77
2010,4,84
2010,5,70
2010,6,82
2010,7,118
2010,8,135
2010,9,113
2010,10,109
2010,11,120
2010,12,102
2011,1,92
2011,2,61
2011,3,106
2011,4,116
2011,5,119
2011,6,118
2011,7,85
2011,8,79
2011,9,90
2011,10,97
2011,11,198
2011,12,147
2012,1,191
2012,2,120
2012,3,101
2012,4,131
2012,5,105
2012,6,112
2012,7,129
2012,8,138
2012,9,146
2012,10,94
2012,11,79
2012,12,89
2013,1,112
2013,2,103
2013,3,131
2013,4,148
2013,5,237
2013,6,195
2013,7,278
2013,8,289
2013,9,237
2013,10,297
2013,11,391
2013,12,434
2014,1,372
2014,2,428
2014,3,503
2014,4,368
2014,5,428
2014,6,333
2014,7,269
2014,8,229
2014,9,269
2014,10,239
2014,11,256
2014,12,240
2015,1,274
2015,2,203
2015,3,206
2015,4,217
2015,5,217
2015,6,220
2015,7,217
2015,8,223
2015,9,209
2015,10,256
2015,11,263
2015,12,246
2016,1,297
2016,2,302
2016,3,277
2016,4,252
2016,5,353
2016,6,310
2016,7,263
2016,8,254
2016,9,318
2016,10,246
2016,11,253
2016,12,270
2017,1,233
2017,2,281
2017,3,227
2017,4,208
2017,5,255
2017,6,286
2017,7,213
2017,8,206
2017,9,183
2017,10,159
2017,11,159
2017,12,138
2018,1,170
2018,2,123
2018,3,152
2018,4,107
2018,5,139
2018,6,110
2018,7,123
2018,8,110
2018,9,105
2018,10,120
2018,11,66
2018,12,39
2019,1,44
2019,2,59
2019,3,32
2019,4,55
2019,5,96
2019,6,64
2019,7,56
2019,8,34
2019,9,46
2019,10,39
2019,11,33
2019,12,86
2020,1,60
2020,2,69
2020,3,60
2020,4,68
2020,5,97
2020,6,34
2020,7,39
2020,8,68
2020,9,66
2020,10,60
2020,11,70
2020,12,73
