iyear,imonth,count
1970,4,1
1971,10,1
1972,2,1
1972,6,1
1972,9,1
1972,12,2
1973,1,2
1973,10,1
1974,3,1
1974,5,2
1975,5,1
1975,6,2
1975,10,2
1975,11,1
1975,12,1
1976,2,1
1976,3,1
1976,5,1
1976,7,1
1976,9,1
1977,9,1
1977,10,1
1977,11,1
1978,1,1
1978,6,1
1978,10,1
1979,1,1
1979,2,1
1979,3,1
1979,8,3
1979,10,1
1979,12,1
1980,1,1
1980,3,1
1980,6,1
1980,8,2
1980,10,1
1981,1,2
1981,2,1
1981,5,1
1981,8,1
1982,1,1
1982,2,1
1982,6,1
1982,9,1
1983,8,1
1983,10,1
1983,11,1
1983,12,1
1984,10,1
1985,3,1
1985,8,1
1986,8,1
1986,11,1
1987,1,2
1987,2,18
1987,5,1
1987,6,1
1987,10,1
1987,12,1
1989,1,1
1989,2,1
1989,7,1
1990,3,2
1991,2,6
1991,5,1
1991,6,1
1991,7,6
1991,12,2
1992,3,1
1992,12,6
1994,1,4
1994,2,2
1994,5,1
1994,8,1
1994,9,1
1994,11,1
1995,5,2
1995,11,1
1996,3,1
1997,3,1
1997,5,1
1997,11,2
1998,4,1
1998,5,1
1998,7,1
1999,3,1
1999,6,1
1999,7,1
2001,3,2
2003,5,1
2006,4,1
2007,5,1
2008,5,1
2008,8,4
2010,2,2
2010,7,2
2011,3,1
2011,5,1
2011,6,2
2012,1,1
2012,4,2
2012,5,3
2012,6,2
2012,7,6
2012,8,4
2012,9,2
2012,10,4
2012,11,3
2012,12,2
2013,1,4
2013,2,3
2013,3,4
2013,5,3
2013,6,2
2013,8,3
2013,9,2
2013,10,2
2013,11,3
2013,12,1
2014,1,1
2014,2,1
2014,3,5
2014,4,3
2014,5,2
2014,6,2
2014,7,2
2014,8,3
2014,9,3
2014,10,4
2014,11,5
2014,12,2
2015,1,2
2015,2,3
2015,4,4
2015,5,3
2015,6,1
2015,7,3
2015,8,2
2015,9,1
2015,10,2
2015,11,4
2015,12,3
2016,1,2
2016,2,3
2016,3,2
2016,4,1
2016,7,1
2016,8,1
2016,10,1
2016,11,1
2016,12,3
2017,2,3
2017,3,2
2017,5,3
2017,6,2
2017,8,2
2017,9,1
2017,10,1
2017,11,3
2018,1,1
2018,5,1
2018,9,1
2018,11,2
2019,1,1
2019,2,2
2019,3,3
2019,4,1
2019,7,1
2019,8,2
2019,10,2
2020,1,2
2020,2,2
2020,3,1
2020,4,4
2020,9,1
