iyear,imonth,count
1971,9,1
1972,5,1
1972,9,14
1973,12,1
1974,2,3
1974,4,1
1974,5,1
1974,6,2
1974,11,2
1974,12,3
1975,3,1
1975,11,1
1976,1,1
1976,5,1
1977,4,1
1977,7,1
1977,11,1
1977,12,3
1978,2,2
1978,3,1
1978,6,1
1978,7,1
1978,8,5
1978,9,6
1978,11,3
1978,12,4
1979,1,9
1979,2,4
1979,3,9
1979,4,14
1979,5,14
1979,6,8
1979,7,18
1979,8,26
1979,9,13
1979,10,6
1979,11,6
1979,12,2
1980,1,7
1980,2,7
1980,3,13
1980,4,4
1980,5,7
1980,6,17
1980,7,3
1980,8,8
1980,9,1
1980,10,5
1980,11,2
1980,12,3
1981,1,2
1981,2,5
1981,3,6
1981,4,5
1981,5,2
1981,6,1
1981,7,6
1981,8,3
1981,9,1
1981,11,1
1982,1,4
1982,2,5
1982,3,10
1982,4,8
1982,5,14
1982,6,1
1982,7,1
1982,8,3
1982,9,1
1982,10,1
1982,11,4
1982,12,2
1983,1,4
1983,2,10
1983,4,3
1983,5,1
1983,6,5
1983,7,1
1983,12,2
1984,1,6
1984,2,4
1984,3,2
1984,4,2
1984,6,1
1984,8,2
1984,11,2
1984,12,1
1985,1,2
1985,5,4
1985,7,1
1985,9,8
1985,10,2
1985,12,1
1986,1,1
1986,2,4
1986,3,4
1986,4,3
1986,5,8
1986,6,12
1986,7,5
1986,8,3
1986,9,1
1986,10,1
1986,11,4
1986,12,1
1987,2,3
1987,4,1
1987,6,5
1987,8,1
1987,9,1
1987,10,2
1987,11,3
1987,12,4
1988,2,4
1988,3,7
1988,4,1
1988,5,1
1988,6,6
1988,7,1
1988,8,7
1988,10,3
1988,12,2
1989,1,3
1989,2,4
1989,3,8
1989,4,8
1989,5,8
1989,6,5
1989,7,3
1989,8,3
1989,9,14
1989,10,2
1989,11,8
1989,12,7
1990,1,9
1990,2,1
1990,3,1
1990,4,8
1990,5,7
1990,6,14
1990,7,5
1990,8,5
1990,9,7
1990,10,9
1990,11,6
1990,12,9
1991,1,1
1991,3,8
1991,4,3
1991,5,4
1991,6,3
1991,7,5
1991,8,7
1991,9,6
1991,10,10
1991,11,6
1992,1,3
1992,2,5
1992,3,2
1992,4,2
1992,5,6
1992,6,3
1992,7,4
1992,8,2
1992,9,10
1992,10,8
1992,11,7
1992,12,6
1994,1,3
1994,2,3
1994,3,3
1994,4,7
1994,5,2
1994,6,1
1994,7,2
1994,8,3
1994,9,2
1994,10,8
1994,11,6
1994,12,1
1995,1,3
1995,2,1
1995,3,2
1995,6,2
1995,7,1
1995,8,2
1995,11,1
1996,2,4
1996,3,3
1996,4,2
1996,5,3
1996,6,2
1996,10,1
1996,11,1
1996,12,2
1997,1,2
1997,3,2
1997,5,1
1997,7,2
1997,8,1
1997,9,1
1997,10,1
1997,11,1
1997,12,1
1998,2,1
1998,3,2
1998,4,1
1998,7,2
1998,8,2
1998,9,1
1998,10,2
1998,11,1
1999,5,1
1999,6,1
1999,8,2
1999,9,2
1999,11,1
1999,12,1
2000,1,1
2000,5,2
2000,8,4
2000,11,4
2000,12,2
2001,1,2
2001,2,4
2001,3,6
2001,4,7
2001,5,6
2001,6,1
2001,7,3
2001,8,13
2001,9,9
2001,10,7
2001,11,6
2001,12,6
2002,1,7
2002,2,8
2002,3,16
2002,4,5
2002,5,8
2002,6,5
2002,7,4
2002,8,3
2002,9,2
2002,10,4
2002,11,8
2002,12,1
2003,1,1
2003,2,2
2003,3,9
2003,4,3
2003,5,5
2003,6,4
2003,7,2
2003,8,3
2003,9,2
2003,10,1
2003,12,2
2004,1,4
2004,2,1
2004,3,3
2004,4,1
2004,6,3
2004,7,2
2004,8,2
2004,9,1
2004,11,1
2005,1,6
2005,2,1
2005,3,1
2005,4,5
2005,5,1
2005,6,1
2005,7,2
2005,8,5
2005,10,2
2005,12,4
2006,1,3
2006,2,20
2006,3,1
2006,4,12
2006,5,6
2006,6,2
2006,7,11
2006,8,5
2006,9,10
2006,10,1
2006,11,7
2006,12,1
2007,1,2
2007,2,2
2007,3,1
2007,4,3
2007,5,1
2007,6,12
2007,7,4
2007,8,4
2007,9,1
2007,10,3
2007,11,15
2007,12,1
2008,1,14
2008,2,4
2008,3,46
2008,4,15
2008,5,12
2008,6,15
2008,7,3
2008,8,1
2008,9,1
2008,11,4
2008,12,14
2009,1,18
2009,2,8
2009,3,6
2009,4,1
2009,9,2
2009,11,1
2010,3,5
2010,5,1
2010,6,1
2010,9,3
2010,11,2
2010,12,2
2011,1,3
2011,2,3
2011,3,4
2011,4,9
2011,7,1
2011,8,24
2011,9,3
2011,10,4
2012,3,3
2012,4,1
2012,5,1
2012,6,6
2012,7,1
2012,8,2
2012,9,2
2012,10,8
2012,11,35
2013,1,3
2013,2,1
2013,3,3
2013,4,2
2013,5,4
2013,7,5
2013,8,5
2013,9,3
2013,10,2
2013,11,3
2013,12,6
2014,1,8
2014,2,2
2014,3,10
2014,4,5
2014,5,5
2014,6,12
2014,7,148
2014,8,89
2014,9,1
2014,10,5
2014,11,6
2014,12,2
2015,1,4
2015,2,2
2015,3,2
2015,4,1
2015,6,1
2015,7,2
2015,8,1
2015,9,4
2015,10,26
2015,11,6
2015,12,9
2016,1,5
2016,2,4
2016,3,4
2016,4,3
2016,5,14
2016,6,3
2016,7,3
2016,8,2
2016,9,3
2016,10,2
2016,11,6
2016,12,1
2017,1,6
2017,2,2
2017,3,1
2017,4,2
2017,5,3
2017,6,1
2017,7,4
2017,8,2
2017,9,1
2017,10,1
2017,11,2
2017,12,9
2018,1,1
2018,3,2
2018,4,5
2018,5,11
2018,6,8
2018,7,12
2018,8,11
2018,9,1
2018,10,3
2018,11,7
2018,12,2
2019,1,2
2019,2,4
2019,3,5
2019,5,11
2019,6,6
2019,7,2
2019,8,6
2019,9,8
2019,10,2
2019,11,16
2019,12,3
2020,1,15
2020,2,10
2020,3,1
2020,4,2
2020,5,2
2020,6,1
2020,7,1
2020,8,24
2020,9,4
2020,10,3
2020,11,3
2020,12,1
