iyear,imonth,count
1970,1,1
1970,3,1
1970,10,1
1971,3,1
1971,8,1
1971,9,1
1972,3,1
1972,8,2
1972,12,1
1973,1,1
1973,4,5
1973,9,3
1973,10,2
1973,12,4
1974,0,1
1974,1,3
1974,3,1
1974,4,1
1974,5,2
1974,8,1
1974,10,6
1974,11,6
1974,12,1
1975,2,2
1975,5,1
1975,6,3
1975,8,1
1976,1,3
1976,2,2
1976,3,4
1976,4,24
1976,5,26
1976,6,7
1976,7,7
1976,8,27
1976,9,21
1976,10,21
1976,11,21
1976,12,10
1977,1,12
1977,2,14
1977,3,8
1977,4,10
1977,5,7
1977,6,48
1977,7,43
1977,8,15
1977,9,16
1977,10,77
1977,11,19
1977,12,39
1978,1,50
1978,2,31
1978,3,40
1978,4,51
1978,5,25
1978,6,12
1978,7,17
1978,8,1
1978,9,20
1978,10,10
1978,11,5
1978,12,15
1979,1,35
1979,2,15
1979,3,20
1979,4,36
1979,5,38
1979,6,14
1979,7,5
1979,8,2
1979,9,5
1979,10,7
1979,11,7
1979,12,25
1980,1,24
1980,2,10
1980,3,20
1980,4,12
1980,5,12
1980,6,8
1980,7,2
1980,8,1
1980,9,2
1980,10,2
1980,11,9
1980,12,8
1981,1,5
1981,2,7
1981,3,1
1981,4,3
1981,5,6
1981,6,12
1981,7,15
1981,8,1
1981,9,1
1981,10,13
1981,11,1
1981,12,4
1982,1,2
1982,2,2
1982,4,2
1982,5,2
1982,6,4
1982,7,3
1982,8,2
1982,9,1
1982,10,5
1983,1,1
1983,5,2
1983,6,2
1983,8,1
1983,10,1
1984,1,2
1984,2,1
1984,4,2
1984,5,3
1984,7,2
1984,9,1
1984,10,1
1984,12,2
1985,2,1
1985,3,3
1985,6,1
1985,7,2
1985,9,2
1985,10,1
1985,12,1
1986,2,2
1986,4,3
1986,9,1
1986,12,1
1987,1,1
1987,3,1
1987,5,5
1987,6,5
1987,10,2
1988,1,1
1988,3,1
1988,4,3
1988,5,5
1988,6,5
1988,7,4
1988,8,3
1988,10,6
1988,11,1
1989,3,6
1989,4,1
1989,5,4
1989,9,1
1989,10,1
1989,12,2
1990,3,1
1990,9,2
1990,10,1
1990,11,1
1990,12,1
1991,1,7
1991,3,1
1991,4,1
1991,5,3
1991,6,3
1991,7,3
1991,8,8
1991,9,1
1991,11,3
1991,12,1
1992,1,6
1992,3,2
1992,4,2
1992,5,1
1992,6,3
1992,7,6
1992,8,8
1992,9,1
1992,10,1
1992,11,6
1992,12,1
1994,1,1
1994,2,1
1994,3,1
1994,5,3
1994,6,1
1994,7,8
1994,8,1
1994,10,1
1994,12,1
1995,1,1
1996,2,1
1996,3,1
1996,4,1
1996,8,2
1996,9,1
1996,11,1
1996,12,1
1997,2,1
1997,4,1
1997,5,1
1997,6,2
1997,11,3
1998,8,4
1998,9,1
1998,10,1
1999,2,1
1999,4,1
1999,5,1
1999,10,2
1999,11,2
2000,1,1
2000,4,1
2000,6,1
2000,7,2
2000,11,1
2000,12,2
2001,2,1
2001,4,2
2001,7,2
2001,8,3
2001,9,2
2001,11,1
2002,3,1
2002,5,1
2002,7,1
2002,12,4
2003,1,1
2003,2,2
2003,3,2
2003,4,1
2003,5,1
2003,10,5
2003,11,2
2003,12,1
2004,1,1
2004,3,1
2004,6,1
2005,3,3
2005,5,2
2005,9,1
2006,5,1
2006,7,3
2008,5,1
2009,1,1
2009,10,1
2009,12,2
2010,1,3
2010,3,1
2010,11,1
2010,12,5
2011,2,1
2011,3,1
2011,12,3
2012,1,1
2012,5,4
2012,6,2
2012,10,2
2012,11,1
2013,4,3
2013,5,3
2013,12,1
2014,1,2
2014,2,1
2014,6,1
2014,10,1
2014,12,2
2015,5,1
2015,7,1
2015,11,2
2015,12,2
2016,1,1
2016,2,1
2016,3,1
2016,4,2
2016,5,1
2016,6,2
2016,11,2
2016,12,1
2017,1,1
2017,5,2
2017,6,2
2017,7,3
2017,12,2
2018,1,1
2018,2,2
2018,3,2
2018,4,1
2018,5,1
2018,6,2
2018,7,1
2018,8,2
2018,9,2
2018,12,1
2019,3,1
2019,4,2
2019,7,3
2019,8,1
2019,9,1
2020,3,11
2020,4,1
2020,10,1
