iyear,imonth,count
1970,1,1
1970,3,1
1973,4,1
1973,8,1
1974,7,1
1974,11,2
1975,2,1
1975,4,1
1975,5,2
1975,7,2
1975,8,3
1975,9,2
1975,10,1
1976,3,1
1977,0,3
1977,11,1
1978,1,5
1978,2,1
1978,3,4
1978,5,10
1978,6,4
1978,7,2
1978,8,2
1978,9,4
1978,10,1
1978,12,2
1979,0,1
1979,2,1
1979,3,5
1979,4,1
1979,6,8
1981,3,1
1982,9,2
1983,5,1
1983,6,1
1983,7,6
1983,11,4
1984,2,1
1984,4,1
1984,7,9
1984,9,2
1984,10,1
1984,12,1
1985,1,1
1985,4,2
1985,5,3
1985,6,1
1985,7,2
1985,11,1
1986,3,5
1986,4,2
1986,6,1
1986,9,1
1986,10,1
1987,1,3
1987,3,1
1987,5,2
1987,8,2
1987,9,1
1987,10,1
1988,1,1
1988,2,2
1988,3,4
1988,4,2
1988,8,1
1988,9,2
1988,10,3
1988,12,1
1989,1,1
1989,2,2
1989,3,2
1989,4,3
1989,9,1
1989,11,2
1989,12,2
1990,1,11
1990,2,2
1990,3,3
1990,4,4
1990,5,6
1990,7,11
1990,8,3
1990,10,4
1990,11,42
1990,12,7
1991,2,3
1991,3,2
1991,4,2
1991,6,1
1991,7,3
1991,8,2
1991,9,2
1991,10,1
1991,11,2
1991,12,1
1992,1,1
1992,2,6
1992,3,1
1992,4,2
1992,5,2
1992,6,3
1992,8,2
1992,9,3
1992,10,20
1994,2,1
1994,4,1
1994,5,1
1994,6,1
1994,9,1
1994,11,3
1994,12,1
1995,1,1
1995,3,6
1995,4,2
1995,5,5
1995,6,2
1995,7,4
1996,1,1
1996,4,1
1996,7,4
1996,10,1
1996,12,1
1997,2,1
1997,4,1
1997,6,1
1997,7,1
1997,11,1
1998,2,1
1999,4,1
1999,11,1
2000,1,1
2000,6,10
2000,7,1
2000,8,1
2001,1,1
2001,8,1
2001,10,1
2002,2,1
2002,8,1
2003,1,1
2003,3,1
2008,7,1
2008,9,1
2008,10,1
2009,2,1
2013,11,1
2014,1,1
2014,2,1
2014,3,2
2014,4,1
2015,3,1
2015,4,1
2015,8,6
2015,9,1
2015,11,1
2016,7,1
2018,2,1
2019,1,1
2019,7,1
