iyear,imonth,count
1970,2,1
1970,4,1
1970,6,5
1970,9,2
1971,4,1
1971,9,2
1971,10,1
1971,11,1
1972,9,4
1972,11,3
1973,2,1
1976,11,1
1980,9,1
1981,1,1
1981,8,1
1982,1,1
1983,5,2
1983,10,2
1983,11,3
1984,3,1
1984,8,1
1984,11,1
1984,12,2
1988,4,1
1990,4,1
1990,5,2
1991,1,4
1991,2,5
1991,3,1
1991,8,1
1992,7,1
1992,12,1
1994,2,3
1994,3,1
1994,11,1
1994,12,1
1995,2,1
1995,9,1
1995,11,1
1996,5,1
1996,6,1
1997,4,1
1997,9,2
1998,2,1
1999,11,2
2000,11,1
2000,12,1
2001,8,1
2001,9,1
2002,2,1
2002,10,1
2005,8,1
2005,11,3
2006,9,1
2010,1,1
2010,8,1
2012,7,1
2012,11,1
2013,5,1
2014,2,1
2014,8,2
2015,6,1
2015,9,2
2015,11,1
2016,2,1
2016,6,2
2016,9,3
2016,10,1
2016,11,1
2016,12,3
2017,2,1
2017,6,1
2017,8,6
2018,8,1
2018,10,1
2019,2,2
2019,8,1
2019,11,1
