iyear,imonth,count
1975,2,1
1975,3,1
1975,4,1
1975,6,1
1976,1,1
1976,9,1
1978,5,1
1980,12,1
1989,4,1
1989,5,2
1989,11,1
1991,9,2
1991,12,3
1992,2,2
1992,3,5
1992,4,3
1992,5,6
1992,6,4
1992,7,2
1992,8,1
1992,9,2
1992,10,1
1992,11,3
1992,12,1
1994,3,1
1994,4,1
1994,5,1
1994,6,1
1994,11,1
1995,3,1
1995,8,1
1995,10,1
1995,12,1
1996,9,1
1996,10,2
1997,5,1
1997,8,8
1997,12,8
1998,5,1
1998,8,1
2000,5,1
2000,9,2
2000,11,1
2001,1,1
2001,5,1
2001,8,1
2001,10,3
2001,12,1
2002,11,2
2003,1,2
2005,7,2
2006,5,1
2006,10,1
2007,3,1
2007,4,1
2007,5,2
2007,6,4
2007,8,1
2007,9,1
2007,11,2
2008,1,2
2008,3,1
2008,4,1
2008,5,3
2008,7,1
2008,10,1
2008,11,1
2008,12,1
2009,7,1
2010,1,1
2010,2,1
2010,3,1
2010,4,1
2010,5,1
2010,6,1
2010,7,1
2010,11,2
2010,12,3
2011,2,1
2011,3,3
2011,6,1
2011,7,1
2011,9,2
2011,10,7
2011,11,18
2011,12,9
2012,1,4
2012,2,5
2012,3,3
2012,4,2
2012,5,12
2012,6,7
2012,7,10
2012,8,2
2012,9,6
2012,10,13
2012,11,7
2012,12,9
2013,1,9
2013,2,6
2013,3,16
2013,4,8
2013,5,8
2013,6,8
2013,7,1
2013,8,2
2013,9,7
2013,10,4
2013,12,11
2014,1,7
2014,2,3
2014,3,13
2014,4,8
2014,5,20
2014,6,9
2014,7,14
2014,8,11
2014,9,5
2014,10,7
2014,11,10
2014,12,8
2015,1,3
2015,2,4
2015,3,5
2015,4,6
2015,5,11
2015,6,10
2015,7,6
2015,8,4
2015,9,3
2015,10,1
2015,11,3
2015,12,14
2016,1,5
2016,4,1
2016,5,3
2016,6,11
2016,7,14
2016,8,6
2016,9,6
2016,10,5
2016,11,9
2016,12,5
2017,1,3
2017,2,2
2017,3,5
2017,4,1
2017,5,15
2017,6,10
2017,7,15
2017,8,19
2017,9,6
2017,10,8
2017,11,4
2017,12,9
2018,1,9
2018,2,7
2018,3,3
2018,4,3
2018,5,2
2018,6,2
2018,7,6
2018,8,5
2018,9,7
2018,10,1
2018,11,5
2018,12,2
2019,1,6
2019,2,3
2019,4,2
2019,5,1
2019,6,11
2019,7,10
2019,8,3
2019,9,1
2019,10,3
2019,12,10
2020,1,13
2020,2,7
2020,3,10
2020,4,2
2020,5,5
2020,6,4
2020,7,9
2020,9,5
2020,10,2
2020,11,2
2020,12,7
