iyear,imonth,count
1999,6,14
1999,8,5
1999,9,2
1999,10,8
1999,11,4
1999,12,6
2000,1,4
2000,2,6
2000,3,1
2000,4,1
2000,5,6
2000,6,14
2000,7,3
2000,8,6
2000,9,10
2000,10,4
2000,11,3
2000,12,2
2001,1,1
2001,2,3
2001,4,3
2001,8,8
2001,9,2
2002,1,2
2002,8,2
2002,12,1
2003,1,4
2003,3,3
2003,4,1
2003,11,1
2004,2,1
2005,1,1
2005,3,3
2005,7,2
2005,12,2
2006,4,3
2006,5,2
2006,9,1
2007,3,2
2007,8,1
2007,9,1
2007,11,1
2008,1,1
2008,2,3
2008,4,1
2008,6,3
2008,10,1
2008,11,2
2009,3,1
2010,7,1
2011,11,1
2012,4,1
2012,6,1
2012,7,1
2012,9,1
2013,2,1
2013,4,1
2013,9,1
2013,10,1
2013,11,2
2014,1,1
2014,3,1
2014,6,1
2014,12,1
2015,4,1
2015,12,1
2016,3,1
2016,4,1
2016,8,4
2016,11,1
2016,12,1
2017,1,1
2017,3,1
2017,4,1
2017,5,1
2017,7,1
2017,8,1
2017,11,2
2018,1,1
2018,10,1
2020,1,1
2020,6,1
2020,10,1
