iyear,imonth,count
1970,3,1
1971,9,1
1972,8,1
1972,10,1
1972,12,1
1973,1,1
1973,3,2
1973,4,4
1973,5,1
1973,9,1
1973,10,1
1973,11,1
1974,3,2
1974,5,3
1974,7,2
1974,9,1
1974,10,1
1974,12,2
1975,1,2
1975,2,4
1975,4,1
1975,5,1
1975,6,1
1975,10,5
1975,12,1
1976,2,3
1976,6,1
1977,5,1
1977,6,1
1977,11,1
1977,12,1
1978,3,1
1978,6,1
1978,8,1
1978,9,1
1978,11,6
1978,12,2
1979,1,3
1979,2,1
1979,3,2
1979,4,4
1979,5,4
1979,6,4
1979,7,1
1979,8,11
1979,9,3
1979,10,1
1979,11,1
1979,12,3
1980,1,4
1980,2,8
1980,3,9
1980,4,13
1980,5,2
1980,6,8
1980,7,12
1980,8,4
1980,9,2
1980,10,18
1980,11,3
1980,12,3
1981,1,3
1981,2,7
1981,3,10
1981,4,4
1981,5,4
1981,6,4
1981,7,1
1981,8,7
1981,9,11
1981,10,6
1981,11,9
1981,12,15
1982,1,9
1982,2,9
1982,3,20
1982,4,29
1982,5,21
1982,6,2
1982,7,2
1982,8,5
1982,9,2
1982,10,8
1982,11,4
1982,12,9
1983,1,25
1983,2,16
1983,3,26
1983,4,37
1983,5,28
1983,6,47
1983,7,15
1983,8,8
1983,9,1
1983,10,5
1983,11,5
1983,12,21
1984,1,61
1984,2,41
1984,3,29
1984,4,1
1984,5,5
1984,6,4
1984,7,5
1984,8,7
1984,9,3
1984,10,3
1984,11,2
1984,12,5
1985,1,17
1985,2,16
1985,3,13
1985,4,4
1985,5,8
1985,6,6
1985,7,6
1985,8,10
1985,9,11
1985,10,3
1985,11,2
1986,1,4
1986,2,11
1986,3,15
1986,4,8
1986,5,7
1986,6,10
1986,7,7
1986,8,12
1986,9,14
1986,10,7
1986,11,6
1986,12,5
1987,1,14
1987,2,9
1987,3,8
1987,4,6
1987,5,6
1987,6,4
1987,7,5
1987,8,11
1987,9,17
1987,10,4
1987,11,6
1987,12,4
1988,1,1
1988,2,20
1988,3,18
1988,4,5
1988,5,11
1988,6,6
1988,7,7
1988,8,13
1988,9,9
1988,10,15
1988,11,8
1988,12,12
1989,1,15
1989,2,22
1989,3,17
1989,4,3
1989,5,10
1989,6,10
1989,7,5
1989,8,7
1989,9,15
1989,10,12
1989,11,16
1989,12,10
1990,1,10
1990,2,2
1990,3,13
1990,4,7
1990,5,4
1990,6,12
1990,7,5
1990,8,11
1990,9,5
1990,10,8
1990,11,7
1991,1,17
1991,2,13
1991,3,8
1991,4,1
1991,5,8
1991,6,3
1991,7,2
1991,8,12
1991,9,4
1991,10,8
