iyear,imonth,count
1979,8,1
1979,10,2
1980,6,1
1980,7,1
1984,5,3
1992,4,1
1995,8,1
1996,4,1
1996,5,1
1996,6,1
1996,11,1
2007,3,1
2008,8,1
2011,9,1
2011,12,1
2012,4,2
2012,5,2
2012,6,7
2012,7,10
2012,8,12
2012,9,5
2012,10,3
2012,11,7
2012,12,9
2013,1,16
2013,2,5
2013,3,12
2013,4,19
2013,5,19
2013,6,21
2013,7,27
2013,8,22
2013,9,22
2013,10,38
2013,11,44
2013,12,46
2014,1,50
2014,2,54
2014,3,63
2014,4,45
2014,5,60
2014,6,50
2014,7,96
2014,8,66
2014,9,63
2014,10,93
2014,11,57
2014,12,32
2015,1,35
2015,2,39
2015,3,70
2015,4,59
2015,5,43
2015,6,38
2015,7,67
2015,8,25
2015,9,34
2015,10,62
2015,11,47
2015,12,24
2016,1,59
2016,2,36
2016,3,60
2016,4,53
2016,5,59
2016,6,23
2016,7,27
2016,8,18
2016,9,22
2016,10,17
2016,11,26
2016,12,22
2017,1,16
2017,2,16
2017,3,16
2017,4,17
2017,5,22
2017,6,17
2017,7,25
2017,8,12
2017,9,14
2017,10,16
2017,11,15
2017,12,5
2018,1,19
2018,2,18
2018,3,13
2018,4,10
2018,5,17
2018,6,9
2018,7,8
2018,8,11
2018,9,19
2018,10,18
2018,11,9
2018,12,16
2019,1,8
2019,2,4
2019,3,11
2019,4,11
2019,5,12
2019,6,7
2019,7,7
2019,8,1
2019,10,6
2019,11,1
2019,12,2
2020,1,1
2020,2,2
2020,3,3
2020,4,2
2020,5,2
2020,7,1
2020,8,1
2020,9,2
2020,10,1
2020,11,2
