iyear,imonth,count
1973,10,1
1975,8,2
1975,9,1
1977,11,1
1977,12,1
1979,7,1
1983,1,1
1986,3,15
1988,2,1
1988,3,2
1988,5,1
1989,4,2
1990,7,2
1990,10,1
1991,1,2
1991,2,1
1992,4,1
1992,10,1
2000,4,1
2000,7,2
2001,2,1
2008,5,1
2008,10,1
2009,4,1
2012,7,1
2012,11,1
2013,1,1
2013,4,8
2013,5,2
2013,6,1
2013,11,1
2014,1,1
2014,2,2
2014,3,1
2014,4,1
2014,5,2
2014,6,1
2014,7,1
2014,8,1
2014,10,2
2015,2,3
2015,3,1
2015,5,1
2016,1,1
2016,3,2
2016,4,2
2016,6,2
2016,7,2
2016,8,1
2016,9,3
2016,11,5
2016,12,1
2017,1,1
2017,2,1
2017,11,2
2018,4,2
2018,5,1
2018,8,1
2018,9,1
2018,12,2
2019,6,1
2019,9,1
2020,1,1
