iyear,imonth,count
1990,6,1
1991,1,1
1991,2,1
1991,4,1
1991,5,3
1991,11,3
1991,12,3
1992,7,3
1994,5,1
1994,6,2
1994,7,3
1994,8,1
1994,10,4
1994,11,2
1995,1,1
1997,4,2
1997,5,1
2005,7,1
2007,5,1
2007,8,3
2007,9,1
2008,3,3
2008,4,1
2008,5,3
2008,7,1
2008,12,1
2009,1,2
2009,6,2
2009,7,1
2009,11,1
2010,8,1
2011,1,1
2011,6,1
2011,11,2
2012,1,5
2012,3,2
2012,4,4
2012,5,1
2012,6,2
2012,7,3
2012,9,1
2012,11,1
2013,1,3
2013,2,12
2013,3,7
2013,4,2
2013,5,6
2013,6,1
2013,7,4
2013,9,3
2013,10,7
2013,11,9
2013,12,4
2014,1,2
2014,2,7
2014,3,2
2014,4,4
2014,5,6
2014,6,3
2014,7,3
2014,8,7
2014,9,10
2014,10,5
2014,11,12
2014,12,8
2015,1,16
2015,2,5
2015,3,8
2015,4,21
2015,5,22
2015,6,6
2015,7,3
2015,8,10
2015,9,6
2015,10,8
2015,11,8
2015,12,8
2016,1,11
2016,2,10
2016,3,6
2016,4,5
2016,5,13
2016,6,2
2016,7,5
2016,8,7
2016,9,5
2016,10,13
2016,11,17
2016,12,6
2017,1,19
2017,2,9
2017,3,11
2017,4,12
2017,5,12
2017,6,6
2017,7,12
2017,8,10
2017,9,11
2017,10,10
2017,11,16
2017,12,14
2018,1,16
2018,2,13
2018,3,8
2018,4,17
2018,5,15
2018,6,13
2018,7,31
2018,8,11
2018,9,11
2018,10,11
2018,11,5
2018,12,13
2019,1,21
2019,2,17
2019,3,12
2019,4,5
2019,5,14
2019,6,17
2019,7,6
2019,8,8
2019,9,11
2019,10,11
2019,11,7
2019,12,10
2020,1,13
2020,2,16
2020,3,20
2020,4,18
2020,5,9
2020,6,8
2020,7,13
2020,8,7
2020,9,8
2020,10,12
2020,11,11
2020,12,3
