iyear,imonth,count
1970,0,1
1970,8,1
1972,11,1
1973,5,1
1973,10,2
1973,11,2
1973,12,1
1974,1,1
1974,2,7
1974,3,3
1974,4,1
1974,5,1
1974,11,3
1975,1,1
1975,4,1
1975,5,1
1975,7,1
1975,8,2
1975,11,4
1976,1,2
1976,5,3
1976,6,3
1976,7,2
1976,8,2
1976,10,1
1976,11,4
1976,12,3
1977,1,3
1977,5,1
1977,6,1
1977,7,1
1977,8,1
1977,9,12
1978,1,6
1978,2,2
1978,3,3
1978,4,4
1978,5,3
1978,7,3
1978,8,4
1978,9,2
1978,10,1
1978,11,2
1979,2,1
1979,3,1
1979,5,1
1979,6,1
1979,8,4
1979,9,1
1979,10,1
1980,2,4
1980,6,1
1981,2,2
1981,12,1
1982,3,1
1982,4,1
1982,8,1
1983,6,1
1983,10,1
1984,4,1
1984,5,2
1984,9,1
1985,7,1
1986,4,1
1986,5,1
1987,9,1
1988,7,1
1988,9,1
1988,11,1
1989,12,1
1990,1,1
1990,2,1
1990,4,1
1990,5,1
1990,6,1
1991,1,1
1991,2,1
1991,8,5
1991,9,1
1991,11,2
1992,1,1
1992,3,1
1992,9,1
1992,11,3
1994,1,14
1994,2,1
1994,3,3
1994,4,7
1994,5,3
1994,6,4
1994,9,3
1994,10,3
1994,11,3
1994,12,1
1995,1,4
1995,2,6
1995,3,2
1995,4,3
1995,5,3
1995,6,1
1995,7,4
1995,9,2
1995,10,3
1995,11,1
1996,1,3
1996,2,4
1996,3,3
1996,4,3
1996,5,2
1996,6,7
1996,7,11
1996,8,17
1996,9,10
1996,10,5
1996,11,5
1996,12,5
1997,1,6
1997,2,6
1997,3,8
1997,4,5
1997,5,3
1997,6,6
1997,7,15
1997,8,4
1997,9,4
1997,10,6
1997,11,18
1997,12,14
1998,6,1
1998,7,1
1999,9,1
2000,2,1
2000,7,1
2000,8,1
2000,11,1
2001,2,1
2001,6,1
2001,8,3
2001,9,1
2001,10,1
2003,1,1
2004,3,1
2005,7,1
2006,4,4
2006,7,1
2006,8,1
2006,11,1
2007,1,1
2007,2,3
2007,3,2
2007,7,2
2007,8,1
2007,9,1
2008,1,1
2008,2,2
2008,7,1
2008,8,2
2008,9,1
2008,10,1
2009,6,1
2010,3,1
2010,5,2
2010,11,1
2010,12,1
2011,6,1
2011,12,1
2012,1,1
2012,3,3
2012,4,2
2012,5,6
2012,6,3
2012,11,1
2013,1,1
2013,2,1
2013,3,5
2013,4,1
2014,1,1
2014,2,1
2014,4,1
2014,5,1
2014,9,1
2015,1,1
2015,2,1
2015,4,1
2015,5,1
2015,6,3
2015,7,2
2015,10,9
2015,11,1
2016,2,1
2016,4,1
2016,5,1
2016,6,2
2016,12,2
2017,1,2
2017,2,1
2017,3,6
2017,4,1
2017,5,5
2017,6,3
2017,7,2
2017,8,1
2017,11,1
2017,12,1
2018,1,1
2018,2,1
2018,3,2
2018,5,4
2018,6,1
2018,7,5
2018,8,2
2018,9,2
2018,10,4
2018,11,1
2018,12,4
2019,1,5
2019,2,5
2019,3,4
2019,4,1
2019,5,5
2019,6,3
2019,7,2
2019,8,4
2019,11,2
2020,2,1
2020,3,1
2020,4,2
2020,5,1
2020,6,2
2020,8,3
2020,11,3
