iyear,imonth,count
1978,11,1
1978,12,1
1979,3,2
1979,4,3
1981,10,1
1981,11,1
1981,12,1
1982,6,1
1982,7,1
1982,8,1
1982,9,3
1982,10,1
1982,12,2
1983,2,3
1983,12,1
1984,2,2
1984,4,5
1984,5,1
1984,6,1
1984,7,1
1985,6,1
1985,8,1
1985,9,2
1985,12,1
1986,1,2
1986,4,1
1986,5,1
1986,7,2
1986,11,1
1987,2,3
1987,3,1
1987,5,1
1987,6,2
1987,7,1
1987,10,2
1987,11,1
1988,1,1
1988,2,3
1988,3,1
1988,4,3
1988,7,3
1988,9,1
1988,10,1
1988,11,2
1988,12,1
1989,1,5
1989,2,3
1989,3,8
1989,4,4
1989,5,5
1989,6,2
1989,7,11
1989,8,8
1989,9,3
1989,10,3
1989,11,4
1989,12,8
1990,1,3
1990,2,5
1990,4,1
1990,5,8
1990,6,1
1990,8,2
1990,10,1
1990,11,1
1990,12,1
1991,1,1
1991,2,6
1991,3,3
1991,4,1
1991,5,3
1991,6,1
1991,7,1
1991,8,3
1991,9,4
1991,10,2
1991,11,6
1991,12,4
1992,1,3
1992,2,1
1992,3,2
1992,4,2
1992,5,4
1992,6,1
1992,7,1
1992,8,4
1992,10,1
1994,7,2
1994,8,1
1995,4,1
1995,5,1
1995,7,1
1999,6,1
2000,1,1
2000,11,2
2007,8,1
2012,3,1
2013,4,3
2013,6,2
2013,10,6
2013,11,5
2013,12,2
2014,1,2
2014,2,1
2014,3,1
2014,4,2
2014,5,3
2014,6,13
2015,3,1
2015,4,1
2015,8,2
2015,9,2
2015,12,2
2016,1,2
2016,2,8
2016,4,6
2016,5,5
2016,6,15
2016,7,7
2016,8,12
2016,9,6
2016,10,11
2016,11,4
2016,12,3
2017,2,2
2017,10,9
2017,11,3
2017,12,1
2018,1,4
2018,3,2
2018,4,6
2018,5,5
2018,6,12
2018,7,4
2018,8,2
2018,9,5
2018,10,1
2018,11,5
2018,12,19
2019,1,9
2019,2,6
2019,3,10
2019,4,1
2019,5,11
2019,6,3
2019,7,12
2019,8,11
2019,9,22
2019,10,12
2019,11,20
2019,12,16
2020,1,21
2020,2,18
2020,3,12
2020,4,16
2020,5,26
2020,6,18
2020,7,11
2020,8,5
2020,9,30
2020,10,32
2020,11,16
2020,12,15
