iyear,imonth,count
1975,8,1
1976,2,1
1976,4,1
1978,3,1
1978,9,1
1978,10,1
1978,11,1
1978,12,4
1979,1,2
1979,2,2
1979,3,6
1979,4,9
1979,5,2
1979,6,3
1979,7,3
1979,8,1
1979,9,3
1980,2,1
1980,3,1
1982,3,1
1982,12,1
1983,2,2
1983,5,1
1983,7,1
1983,10,1
1984,4,4
1984,5,5
1984,6,5
1984,7,6
1984,8,2
1984,10,1
1984,12,1
1985,1,1
1985,6,3
1985,8,1
1985,10,1
1985,11,1
1985,12,1
1986,8,1
1987,7,2
1987,11,4
1987,12,1
1988,1,1
1988,2,1
1988,3,1
1988,5,1
1988,7,6
1988,8,1
1988,9,3
1988,10,2
1988,12,1
1989,5,3
1989,7,1
1989,8,1
1989,9,1
1989,10,3
1989,11,2
1990,6,2
1991,7,1
1994,10,1
1999,8,1
2000,1,8
2000,2,3
2000,4,1
2000,6,2
2000,7,2
2000,8,2
2000,11,1
2000,12,2
2001,4,1
2001,5,1
2001,8,1
2001,9,1
2001,12,2
