iyear,imonth,count
1985,6,9
1991,7,1
1992,4,4
1992,5,3
1992,6,1
1994,11,3
1996,2,1
1996,7,1
1996,12,3
1997,1,1
1997,2,2
1997,5,3
1997,6,3
1999,3,1
1999,4,1
1999,5,2
1999,6,1
1999,11,2
1999,12,1
2000,1,3
2000,2,1
2000,3,2
2000,4,3
2000,6,2
2000,7,2
2000,9,4
2000,11,3
2000,12,3
2001,2,6
2001,4,5
2001,5,1
2001,7,2
2001,8,3
2001,9,1
2001,11,10
2001,12,5
2002,1,4
2002,2,7
2002,3,2
2002,4,9
2002,5,2
2002,7,2
2002,8,5
2002,9,8
2002,10,4
2002,11,10
2002,12,5
2003,1,7
2003,7,3
2003,10,1
2003,11,4
2004,1,2
2004,2,1
2004,3,11
2004,4,10
2004,5,9
2004,6,5
2004,7,7
2004,8,8
2004,9,4
2004,11,1
2004,12,4
2005,1,6
2005,2,1
2005,4,19
2005,5,11
2005,6,7
2005,7,9
2005,8,4
2005,9,1
2005,10,9
2005,12,3
2006,1,27
2006,2,28
2006,3,6
2006,4,7
2006,6,1
2006,7,3
2006,9,1
2006,11,3
2006,12,7
2007,1,5
2007,2,4
2007,3,3
2007,4,10
2007,5,8
2007,6,16
2007,7,12
2007,8,6
2007,9,8
2007,10,11
2007,11,4
2007,12,3
2008,1,11
2008,2,3
2008,3,7
2008,4,24
2008,5,21
2008,6,10
2008,7,11
2008,8,10
2008,9,3
2008,10,8
2008,11,3
2008,12,9
2009,1,8
2009,2,7
2009,3,5
2009,4,6
2009,5,4
2009,6,1
2009,7,2
2009,8,5
2009,9,1
2010,1,1
2010,2,2
2010,3,5
2010,4,3
2010,5,3
2010,6,4
2010,7,11
2010,8,1
2010,9,5
2010,10,3
2011,1,4
2011,2,5
2011,3,8
2011,4,10
2011,5,6
2011,6,1
2011,8,2
2011,9,6
2011,11,2
2011,12,2
2012,1,7
2012,2,3
2012,3,4
2012,4,11
2012,5,6
2012,6,3
2012,7,6
2012,8,1
2012,10,1
2012,11,2
2012,12,2
2013,1,1
2013,2,5
2013,3,3
2013,4,2
2013,5,3
2013,6,2
2013,7,1
2013,8,1
2013,9,2
2013,10,24
2013,11,53
2013,12,7
2014,3,2
2014,5,1
2014,8,1
2014,10,1
2014,11,2
2015,1,1
2015,2,1
2015,4,1
2015,7,3
2015,8,3
2015,9,16
2015,10,3
2015,11,13
2015,12,7
2016,1,3
2016,2,1
2016,3,1
2016,4,1
2016,5,1
2016,6,19
2016,7,4
2016,9,8
2016,11,2
2016,12,3
2017,1,1
2017,2,6
2017,3,12
2017,4,4
2017,5,39
2017,6,34
2017,7,1
2017,8,1
2017,9,11
2017,10,1
2017,11,97
2017,12,40
2018,1,1
2018,2,21
2018,3,11
2018,4,13
2018,5,35
2018,6,3
2018,8,13
2018,11,2
2019,1,4
2019,2,33
2019,3,17
2019,4,16
2019,5,29
2019,6,22
2019,7,25
2019,8,22
2019,9,3
2019,10,2
2019,11,16
2019,12,11
2020,1,16
2020,2,3
2020,3,3
2020,7,5
2020,8,1
2020,11,3
2020,12,6
