iyear,imonth,count
1970,8,1
1970,9,2
1971,3,1
1972,2,1
1973,7,1
1974,7,1
1974,9,1
1975,1,1
1975,9,1
1975,12,2
1976,10,1
1976,11,1
1976,12,1
1977,1,1
1977,5,2
1977,9,1
1977,10,2
1978,1,1
1978,3,1
1978,10,1
1979,3,1
1979,10,1
1979,12,1
1980,6,1
1981,4,1
1982,7,1
1982,11,1
1983,1,1
1983,2,1
1984,9,1
1985,1,1
1985,3,1
1985,9,1
1985,12,1
1986,1,1
1986,2,1
1986,6,4
1986,8,4
1986,9,3
1986,11,1
1987,5,1
1988,5,2
1988,6,1
1988,12,1
1989,10,3
1989,11,1
1989,12,1
1990,3,1
1990,5,1
1990,6,1
1990,7,2
1990,12,1
1991,4,1
1991,7,2
1991,8,2
1991,11,2
1991,12,1
1992,1,3
1992,2,2
1992,3,6
1992,4,1
1994,2,1
1994,11,1
1994,12,1
1995,2,2
1995,4,3
1995,10,2
1996,1,4
1996,4,1
1996,5,1
1997,4,1
1999,2,1
2000,6,1
2001,1,1
2002,5,2
2003,1,1
2003,12,2
2004,11,1
2008,12,1
2009,5,1
2010,11,1
2011,2,1
2011,9,1
2014,7,1
2015,1,1
2015,10,1
2015,11,1
2016,2,1
2016,6,2
2016,7,2
2016,12,1
2017,12,1
2018,2,1
2018,5,1
2018,6,1
2018,8,3
2019,3,1
2019,5,1
2019,6,1
2019,11,1
2020,4,23
2020,5,5
2020,6,1
2020,9,1
2020,11,2
2020,12,5
