iyear,imonth,count
1970,7,1
1974,12,1
1975,8,1
1977,7,1
1977,10,4
1978,1,2
1978,2,12
1978,3,4
1978,4,5
1978,6,1
1978,7,4
1978,8,2
1978,9,3
1978,10,14
1978,11,10
1978,12,19
1979,1,54
1979,2,36
1979,3,21
1979,4,8
1979,5,57
1979,6,10
1979,8,1
1979,9,2
1979,10,12
1979,11,3
1979,12,2
1980,3,1
1980,5,10
1980,7,10
1980,8,2
1980,9,8
1980,11,1
1980,12,3
1981,1,8
1981,3,1
1981,4,2
1981,5,2
1981,6,3
1981,7,2
1981,8,2
1981,9,2
1981,10,4
1981,11,5
1981,12,16
1982,1,5
1982,2,3
1982,3,6
1982,4,7
1982,5,6
1982,6,1
1982,7,3
1982,8,2
1982,9,1
1982,10,6
1982,11,7
1982,12,16
1983,1,8
1983,2,4
1983,3,32
1983,4,37
1983,5,46
1983,6,17
1983,7,16
1983,8,30
1983,9,32
1983,10,27
1983,11,27
1983,12,23
1984,1,17
1984,2,19
1984,3,49
1984,4,42
1984,5,19
1984,6,21
1984,7,21
1984,8,18
1984,9,41
1984,10,20
1984,11,21
1984,12,14
1985,1,31
1985,2,7
1985,3,18
1985,4,2
1985,5,28
1985,6,17
1985,7,16
1985,8,24
1985,9,45
1985,10,21
1985,11,18
1985,12,31
1986,1,33
1986,2,3
1986,3,20
1986,4,17
1986,5,14
1986,6,4
1986,7,12
1986,8,11
1986,9,30
1986,10,9
1986,11,15
1986,12,3
1987,1,3
1987,2,3
1987,3,11
1987,4,18
1987,5,22
1987,6,27
1987,7,9
1987,8,13
1987,9,25
1987,10,18
1987,11,47
1987,12,27
1988,1,24
1988,2,11
1988,3,9
1988,6,4
1988,7,7
1988,8,1
1988,10,3
1988,11,3
1989,1,1
1989,2,2
1989,3,1
1989,5,1
1989,6,1
1989,7,3
1989,8,3
1989,9,7
1989,10,1
1989,12,1
1990,1,1
1990,2,1
1990,3,1
1990,4,5
1990,9,1
1990,10,2
1990,12,4
1991,2,1
1991,4,3
1991,6,23
1991,7,7
1991,8,6
1991,9,5
1991,10,6
1991,11,20
1991,12,9
1992,1,5
1992,2,2
1992,3,5
1992,4,5
1992,5,1
1992,8,1
1992,9,1
1992,10,5
1992,11,2
1992,12,3
1994,3,4
1994,6,4
1994,7,3
1994,9,1
1994,10,1
1994,11,3
1994,12,3
1995,2,1
1995,4,1
1995,5,4
1995,6,4
1995,7,5
1995,8,1
1995,9,1
1995,10,1
1996,1,2
1996,2,9
1996,5,5
1996,6,6
1996,7,1
1996,9,1
1996,11,2
1997,1,1
1997,6,1
1997,7,4
1997,8,1
1999,9,1
2000,3,1
2014,7,2
2018,5,1
2018,6,3
2018,7,3
2019,9,3
2020,2,2
2020,7,1
