iyear,imonth,count
1985,5,1
1989,9,1
1991,2,2
1991,6,1
1991,12,3
1992,1,1
1992,2,2
1992,3,1
1992,5,1
1992,6,2
1992,7,3
1992,8,1
1992,9,2
1992,10,3
1994,1,1
1994,3,1
1994,4,4
1994,5,1
1994,8,1
1995,3,1
1995,12,1
1996,6,1
1997,9,2
1997,10,1
1999,4,1
1999,10,1
2007,6,1
2007,7,1
2007,8,3
2007,11,1
2007,12,1
2008,1,3
2008,3,1
2008,5,1
2008,6,2
2008,12,2
2009,1,1
2009,3,1
2009,12,2
2010,3,1
2010,4,1
2010,9,1
2011,1,1
2011,6,1
2012,10,1
2013,5,2
2013,6,2
2014,5,1
2014,10,3
2014,11,1
2015,2,13
2015,3,7
2015,4,2
2015,5,2
2015,6,3
2015,7,3
2015,8,1
2015,9,1
2015,10,4
2015,11,4
2015,12,1
2016,1,1
2016,3,3
2016,4,2
2016,5,3
2016,6,4
2016,8,1
2016,9,4
2016,10,4
2016,11,2
2016,12,1
2017,1,1
2017,2,1
2017,3,1
2017,4,1
2017,5,2
2017,6,1
2017,7,2
2017,9,2
2017,10,2
2018,1,3
2018,3,2
2018,4,1
2018,5,2
2018,6,2
2018,7,1
2018,9,1
2018,11,6
2018,12,1
2019,1,2
2019,2,6
2019,3,8
2019,4,2
2019,5,6
2019,6,7
2019,7,2
2019,8,2
2019,9,1
2019,10,7
2019,11,2
2019,12,4
2020,1,1
2020,2,7
2020,3,12
2020,5,6
2020,6,1
2020,8,3
2020,10,1
2020,12,4
