iyear,imonth,count
1976,2,1
1980,1,1
1983,11,3
1988,1,1
1988,3,1
1991,3,1
1991,8,1
1991,10,1
1992,1,1
1992,2,2
1992,3,1
1992,5,6
1992,12,1
1994,2,1
1994,5,1
1994,8,2
1994,9,4
1995,10,1
1996,1,2
1996,2,1
1996,4,1
1996,5,3
1996,6,1
1996,11,1
1996,12,2
1997,1,2
1997,2,1
1997,3,1
1997,5,4
1997,8,6
1997,9,4
1997,12,2
1998,4,2
1999,2,2
1999,4,1
1999,6,3
1999,7,2
1999,10,2
1999,11,8
2000,1,1
2000,3,1
2000,4,2
2000,6,1
2000,7,1
2001,6,2
2001,8,1
2001,12,2
2002,1,1
2002,8,1
2002,9,1
2002,11,2
2002,12,1
2003,2,2
2003,4,3
2003,5,1
2003,7,1
2003,11,2
2004,1,3
2004,3,1
2004,4,1
2004,10,1
2005,1,1
2005,5,2
2005,6,2
2005,9,1
2005,12,3
2006,1,4
2006,3,1
2006,4,1
2006,5,4
2006,6,4
2006,7,4
2006,8,4
2006,10,3
2006,11,3
2006,12,9
2007,1,6
2007,2,8
2007,3,3
2007,4,8
2007,5,9
2007,6,8
2007,7,5
2007,8,4
2007,9,1
2007,10,1
2007,11,7
2007,12,1
2008,1,9
2008,2,1
2008,3,1
2008,4,3
2008,5,10
2008,6,14
2008,7,9
2008,8,6
2008,9,4
2008,10,2
2008,11,10
2008,12,7
2009,1,5
2009,2,5
2009,3,2
2009,4,1
2009,5,3
2009,6,7
2009,7,17
2009,8,2
2010,1,1
2010,2,3
2010,3,5
2010,4,6
2010,5,3
2010,6,3
2010,7,2
2010,8,2
2010,9,5
2010,10,11
2010,11,8
2010,12,14
2011,1,20
2011,2,9
2011,3,11
2011,4,12
2011,5,10
2011,6,13
2011,7,13
2011,8,10
2011,9,13
2011,10,14
2011,11,33
2011,12,17
2012,1,93
2012,2,60
2012,3,54
2012,4,52
2012,5,34
2012,6,46
2012,7,45
2012,8,46
2012,9,48
2012,10,62
2012,11,32
2012,12,43
2013,1,43
2013,2,36
2013,3,50
2013,4,32
2013,5,24
2013,6,22
2013,7,17
2013,8,20
2013,9,21
2013,10,28
2013,11,32
2013,12,22
2014,1,29
2014,2,47
2014,3,76
2014,4,52
2014,5,87
2014,6,71
2014,7,79
2014,8,42
2014,9,66
2014,10,56
2014,11,65
2014,12,43
2015,1,87
2015,2,88
2015,3,65
2015,4,60
2015,5,43
2015,6,38
2015,7,82
2015,8,38
2015,9,39
2015,10,39
2015,11,19
2015,12,43
2016,1,32
2016,2,32
2016,3,63
2016,4,32
2016,5,58
2016,6,57
2016,7,67
2016,8,29
2016,9,32
2016,10,39
2016,11,68
2016,12,26
2017,1,45
2017,2,26
2017,3,37
2017,4,36
2017,5,41
2017,6,49
2017,7,44
2017,8,46
2017,9,46
2017,10,32
2017,11,54
2017,12,32
2018,1,87
2018,2,32
2018,3,73
2018,4,86
2018,5,53
2018,6,57
2018,7,37
2018,8,34
2018,9,35
2018,10,43
2018,11,45
2018,12,68
2019,1,35
2019,2,74
2019,3,66
2019,4,32
2019,5,48
2019,6,39
2019,7,43
2019,8,52
2019,9,34
2019,10,23
2019,11,29
2019,12,32
2020,1,66
2020,2,46
2020,3,37
2020,4,37
2020,5,50
2020,6,37
2020,7,38
2020,8,26
2020,9,42
2020,10,32
2020,11,26
2020,12,41
