iyear,imonth,count
1970,11,1
1974,2,1
1974,12,1
1975,0,1
1975,2,1
1976,9,2
1976,10,1
1978,8,2
1979,2,1
1979,4,1
1979,6,2
1979,11,3
1980,5,1
1981,2,1
1981,3,1
1981,7,1
1981,9,1
1982,8,2
1982,9,2
1983,2,5
1983,7,1
1983,8,1
1983,9,1
1983,10,1
1984,2,1
1984,7,2
1985,7,2
1986,1,1
1986,2,1
1986,3,2
1986,4,1
1986,5,8
1986,6,5
1986,7,2
1986,9,2
1986,12,2
1987,1,3
1987,2,6
1987,3,1
1987,4,2
1987,5,5
1987,6,4
1987,7,5
1987,8,14
1987,9,5
1987,10,4
1987,11,7
1987,12,4
1988,1,3
1988,2,5
1988,3,6
1988,4,3
1988,5,3
1988,6,2
1988,7,2
1988,8,5
1988,9,3
1988,10,7
1988,11,2
1988,12,3
1989,1,2
1989,2,4
1989,3,2
1989,4,1
1989,5,5
1989,6,2
1989,7,5
1989,8,3
1989,9,4
1989,10,2
1989,11,12
1989,12,3
1990,1,8
1990,2,6
1990,3,5
1990,4,12
1990,5,10
1990,6,7
1990,7,9
1990,8,16
1990,9,7
1990,11,4
1990,12,3
1991,1,8
1991,2,14
1991,3,4
1991,4,4
1991,5,5
1991,6,12
1991,7,9
1991,8,12
1991,9,15
1991,10,16
1991,11,20
1991,12,31
1992,1,6
1992,2,4
1992,3,19
1992,4,3
1992,5,19
1992,6,12
1992,7,3
1992,8,3
1992,9,4
1992,10,4
1992,11,1
1992,12,7
1994,1,5
1994,2,3
1994,3,6
1994,4,5
1994,5,13
1994,6,2
1994,7,10
1994,8,3
1994,9,12
1994,10,17
1994,11,24
1994,12,54
1995,1,17
1995,2,46
1995,3,31
1995,4,23
1995,5,81
1995,6,125
1995,7,50
1995,8,67
1995,9,101
1995,10,95
1995,11,11
1995,12,19
1996,1,67
1996,2,23
1996,3,8
1996,4,14
1996,5,7
1996,6,9
1996,7,10
1996,8,3
1996,9,15
1996,10,9
1996,11,10
1996,12,5
1997,1,5
1997,2,18
1997,3,10
1997,4,17
1997,5,9
1997,6,79
1997,7,25
1997,8,23
1997,9,8
1997,10,8
1997,11,3
1997,12,1
1998,1,3
1998,2,7
1998,3,5
1998,4,3
1998,6,6
1998,8,1
1998,9,3
1998,10,7
1998,11,2
1999,1,4
1999,3,1
1999,4,5
1999,5,1
1999,7,3
1999,8,4
1999,10,7
1999,11,11
1999,12,3
2000,1,4
2000,2,1
2000,3,2
2000,4,9
2000,5,3
2000,7,6
2000,8,4
2000,9,5
2000,10,3
2000,11,6
2000,12,6
2001,1,2
2001,2,9
2001,3,8
2001,4,4
2001,5,5
2001,6,2
2001,7,5
2001,8,10
2001,9,2
2001,10,5
2001,12,1
2002,1,4
2002,2,2
2002,3,4
2002,4,3
2002,5,12
2002,6,2
2002,7,2
2002,8,4
2002,9,4
2002,10,6
2002,11,1
2002,12,2
2003,1,4
2003,2,6
2003,4,2
2003,5,6
2003,6,1
2003,7,4
2003,9,1
2003,10,2
2003,11,1
2003,12,2
2004,1,2
2004,2,1
2004,3,5
2004,4,3
2004,5,5
2004,6,12
2004,7,8
2004,8,11
2004,9,3
2004,10,12
2004,11,1
2004,12,4
2005,1,6
2005,2,6
2005,3,13
2005,4,5
2005,5,8
2005,6,1
2005,7,7
2005,8,13
2005,9,7
2005,10,3
2005,11,2
2005,12,6
2006,1,10
2006,2,27
2006,3,10
2006,4,36
2006,5,22
2006,6,5
2006,7,12
2006,8,9
2006,9,10
2006,10,7
2006,11,10
2006,12,6
2007,1,15
2007,2,11
2007,3,11
2007,4,10
2007,5,14
2007,6,15
2007,7,37
2007,8,19
2007,9,23
2007,10,18
2007,11,63
2007,12,24
2008,1,39
2008,2,23
2008,3,29
2008,4,49
2008,5,30
2008,6,48
2008,7,46
2008,8,43
2008,9,28
2008,10,26
2008,11,100
2008,12,107
2009,1,90
2009,2,59
2009,3,55
2009,4,58
2009,5,62
2009,6,67
2009,7,57
2009,8,63
2009,9,30
2009,10,36
2009,11,35
2009,12,55
2010,1,61
2010,2,68
2010,3,67
2010,4,55
2010,5,57
2010,6,55
