iyear,imonth,count
1972,5,1
1976,8,2
1979,2,1
1979,3,1
1979,4,1
1979,5,1
1980,2,1
1980,4,3
1981,4,1
1981,6,1
1981,7,1
1981,11,1
1983,7,9
1984,7,2
1986,3,4
1986,6,1
1987,7,2
1987,10,2
1988,3,1
1989,1,1
1989,2,1
1990,3,2
1990,4,1
1990,5,4
1990,6,1
1990,8,5
1990,10,1
1990,12,1
1991,1,1
1991,2,1
1991,4,2
1991,6,3
1991,7,2
1991,8,1
1991,9,1
1991,11,2
1991,12,3
1992,1,6
1992,2,3
1992,4,8
1992,5,1
1992,6,4
1992,7,4
1992,9,3
1992,10,1
1992,11,1
1992,12,6
1994,1,1
1994,7,2
1995,4,2
1995,5,1
1995,8,1
1995,10,2
1996,8,1
1996,10,1
1997,4,2
1997,8,1
1997,11,2
1997,12,1
1999,3,1
2000,11,1
2009,2,1
2016,3,1
