iyear,imonth,count
1970,5,1
1976,6,1
1980,3,1
1980,9,1
1984,11,2
1985,6,1
1987,8,1
1992,4,1
1992,9,2
1992,11,1
1994,10,2
1995,9,12
1997,4,1
1997,6,2
1997,11,3
1999,3,1
2000,1,1
2000,5,1
2010,6,1
2010,9,1
2011,1,4
2012,9,2
2012,10,1
2012,11,1
2013,2,1
2013,4,3
2013,5,2
2013,8,1
2013,10,3
2014,4,2
2014,5,1
2014,6,1
2014,7,4
2014,8,1
2014,9,3
2014,11,1
2014,12,2
2015,1,2
2015,2,4
2015,3,1
2015,7,2
2015,8,4
2015,9,4
2015,10,1
2015,11,1
2016,4,1
2016,6,3
2016,7,2
2016,8,1
2016,9,6
2016,10,1
2016,12,1
2017,1,1
2017,3,1
2017,4,2
2017,7,1
2017,8,1
2017,9,2
2017,10,2
2018,11,2
2018,12,2
2020,2,1
2020,9,1
