iyear,imonth,count
1973,7,3
1974,9,1
1974,11,1
1974,12,1
1975,4,1
1975,6,1
1977,2,1
1977,6,2
1977,7,1
1978,8,1
1978,9,2
1978,12,1
1979,1,3
1980,2,1
1980,6,2
1980,7,6
1980,8,9
1980,9,6
1980,10,16
1980,11,1
1980,12,23
1981,1,8
1981,2,2
1981,3,9
1981,4,18
1981,5,28
1981,6,1
1981,7,14
1981,8,24
1981,9,19
1981,10,9
1981,11,1
1981,12,16
1982,1,12
1982,2,4
1982,3,54
1982,4,21
1982,5,10
1982,6,1
1982,7,60
1982,8,66
1982,9,31
1982,10,13
1982,11,22
1982,12,56
1983,1,77
1983,2,34
1983,3,22
1983,4,24
1983,5,44
1983,6,91
1983,7,61
1983,8,15
1983,9,29
1983,10,71
1983,11,36
1983,12,32
1984,1,44
1984,2,26
1984,3,28
1984,4,48
1984,5,51
1984,6,36
1984,7,124
1984,8,53
1984,9,61
1984,10,30
1984,11,54
1984,12,37
1985,1,36
1985,2,40
1985,3,28
1985,4,21
1985,5,42
1985,6,26
1985,7,31
1985,8,28
1985,9,15
1985,10,30
1985,11,23
1985,12,32
1986,1,80
1986,2,56
1986,3,36
1986,4,31
1986,5,73
1986,6,93
1986,7,65
1986,8,40
1986,9,16
1986,10,30
1986,11,17
1986,12,31
1987,1,64
1987,2,52
1987,3,68
1987,4,78
1987,5,73
1987,6,28
1987,7,47
1987,8,75
1987,9,54
1987,10,38
1987,11,39
1987,12,11
1988,1,26
1988,2,29
1988,3,16
1988,4,27
1988,5,31
1988,6,53
1988,7,50
1988,8,22
1988,9,17
1988,10,8
1988,11,40
1988,12,36
1989,1,49
1989,2,61
1989,3,39
1989,4,36
1989,5,62
1989,6,60
1989,7,65
1989,8,57
1989,9,19
1989,10,112
1989,11,32
1989,12,38
1990,1,37
1990,2,27
1990,3,101
1990,4,40
1990,5,31
1990,6,47
1990,7,34
1990,8,40
1990,9,19
1990,10,69
1990,11,31
1990,12,19
1991,1,19
1991,2,24
1991,3,5
1991,4,42
1991,5,78
1991,6,97
1991,7,86
1991,8,55
1991,9,108
1991,10,48
1991,11,76
1991,12,20
1992,1,29
1992,2,41
1992,3,28
1992,4,29
1992,5,35
1992,6,6
1992,7,50
1992,8,14
1992,9,46
1992,10,27
1992,11,51
1992,12,27
1994,1,8
1994,2,2
1994,3,13
1994,4,1
1994,5,36
1994,6,8
1994,7,1
1994,9,4
1994,10,2
1994,11,2
1994,12,14
1995,2,6
1995,3,11
1995,4,4
1995,5,7
1995,7,8
1995,9,3
1995,10,2
1995,12,3
1996,1,1
1996,2,1
1996,3,4
1996,4,2
1996,5,10
1996,6,5
1996,7,9
1996,8,3
1996,9,3
1996,10,1
1996,11,2
1996,12,1
1997,1,6
1997,2,3
1997,3,8
1997,4,2
1997,5,12
1997,6,2
1997,7,1
1997,8,3
1997,9,7
1997,10,4
1997,11,4
1997,12,6
1998,2,2
1998,3,1
1998,8,1
1998,9,1
1999,6,4
1999,10,1
2000,2,2
2000,10,1
2001,5,1
2001,8,2
2002,3,1
2002,9,1
2003,7,1
2004,6,3
2005,1,1
2005,7,1
2006,12,1
2007,5,1
2007,6,1
2007,11,1
2007,12,1
2008,4,1
2009,2,1
2009,4,2
2009,8,1
2012,1,1
2012,4,1
2012,5,1
2012,6,1
2012,8,1
2012,9,1
2012,10,3
2013,3,5
2013,4,2
2013,6,4
2013,7,1
2013,11,1
2014,2,3
2014,3,1
2014,4,3
2014,7,1
2014,8,1
2014,10,2
2014,11,1
2015,2,1
2015,3,3
2015,7,2
2015,8,1
2015,9,2
2015,10,1
2016,3,1
2016,4,2
2016,11,1
2017,2,3
2017,3,2
2017,4,1
2017,5,1
2017,9,1
2018,1,1
2018,6,2
2018,11,2
2019,6,1
2020,1,1
2020,6,1
