iyear,imonth,count
1970,1,3
1970,3,2
1970,4,2
1970,6,2
1970,11,1
1971,2,1
1971,3,3
1972,0,1
1972,3,2
1972,6,1
1972,7,2
1972,8,1
1974,4,1
1975,6,1
1975,7,1
1975,8,1
1975,11,1
1976,2,3
1976,4,1
1976,5,2
1976,6,2
1976,7,1
1976,11,1
1977,8,2
1978,1,3
1978,2,2
1978,4,4
1978,8,2
1978,9,21
1978,11,2
1978,12,2
1979,0,1
1979,1,5
1979,2,3
1979,3,6
1979,4,8
1979,5,14
1979,6,6
1979,7,2
1979,9,1
1979,10,3
1979,12,1
1980,1,4
1980,2,1
1980,3,10
1980,4,2
1980,6,5
1980,8,14
1980,9,14
1980,10,7
1980,12,3
1981,1,4
1981,2,4
1981,3,3
1981,4,2
1981,5,3
1981,6,12
1981,8,1
1981,9,1
1981,11,1
1982,2,4
1982,5,17
1982,6,2
1982,7,2
1982,8,3
1982,9,7
1982,12,3
1983,2,1
1983,3,1
1983,4,9
1983,8,1
1983,9,2
1983,11,2
1984,1,1
1984,2,3
1984,3,1
1984,4,4
1984,5,13
1984,6,1
1984,7,1
1984,8,2
1984,9,2
1984,10,2
1984,11,7
1984,12,6
1985,1,6
1985,2,4
1985,3,3
1985,4,3
1985,5,13
1985,6,10
1985,7,21
1985,8,30
1985,9,7
1985,10,7
1985,11,5
1985,12,15
1986,1,5
1986,2,13
1986,3,10
1986,4,4
1986,5,2
1986,6,4
1986,7,7
1986,8,3
1986,9,7
1986,10,8
1986,11,14
1986,12,3
1987,1,21
1987,2,12
1987,3,10
1987,4,5
1987,5,5
1987,6,31
1987,7,18
1987,8,13
1987,9,7
1987,10,12
1987,11,10
1987,12,16
1988,1,40
1988,2,10
1988,3,36
1988,4,21
1988,5,20
1988,6,30
1988,7,21
1988,8,13
1988,9,5
1988,10,3
1988,11,4
1988,12,7
1989,1,12
1989,2,9
1989,3,15
1989,4,9
1989,5,6
1989,6,5
1989,7,5
1989,8,7
1989,9,20
1989,10,16
1989,11,33
1989,12,19
1990,1,20
1990,2,17
1990,3,21
1990,4,13
1990,5,28
1990,6,12
1990,7,38
1990,8,41
1990,9,34
1990,10,41
1990,11,28
1990,12,27
1991,1,10
1991,2,18
1991,3,10
1991,4,18
1991,5,14
1991,6,13
1991,7,13
1991,8,15
1991,9,18
1991,10,21
1991,12,12
1992,1,11
1992,2,19
1992,3,10
1992,4,18
1992,5,36
1992,6,18
1992,7,9
1992,8,14
1992,9,3
1992,10,12
1992,11,6
1992,12,6
1994,2,8
1994,3,5
1994,4,7
1994,5,8
1994,6,12
1994,7,4
1994,8,4
1994,9,6
1994,10,4
1994,11,8
1994,12,6
1995,1,4
1995,2,7
1995,3,4
1995,4,4
1995,5,6
1995,6,4
1995,7,5
1995,8,9
1995,9,3
1995,10,4
1995,11,3
1995,12,10
1996,1,2
1996,2,6
1996,3,12
1996,4,11
1996,5,6
1996,6,3
1996,7,4
1996,8,2
1996,9,4
1996,10,6
1996,11,2
1996,12,3
1997,1,4
1997,2,6
1997,3,6
1997,4,2
1997,5,9
1997,6,6
1997,7,6
1997,8,6
1997,9,3
1997,10,7
1997,11,2
1998,1,2
1998,3,5
1998,8,1
1998,9,2
1998,10,3
1998,11,4
1998,12,1
1999,1,6
1999,2,2
1999,3,4
1999,4,2
1999,5,3
1999,6,2
1999,8,2
1999,10,1
1999,11,6
1999,12,3
2000,1,1
2000,2,10
2000,3,5
2000,4,7
2000,5,28
2000,6,13
2000,7,14
2000,8,5
2000,9,12
2000,10,18
2000,11,10
2000,12,9
2001,1,1
2001,2,2
2001,3,6
2001,4,6
2001,5,2
2001,6,7
2001,7,1
2001,8,10
2001,9,4
2001,10,5
2001,11,2
2001,12,4
2002,1,7
2002,2,3
2002,3,1
2002,4,6
2002,5,2
2002,6,6
2002,7,4
2002,8,3
2002,9,1
2002,10,11
2002,11,2
2002,12,2
2003,1,15
2003,2,19
2003,3,32
2003,4,19
2003,5,13
2003,6,2
2003,7,5
2003,9,1
2003,11,1
2004,1,2
2004,2,3
2004,3,5
2004,4,4
2004,5,1
2004,6,7
2004,11,3
2004,12,6
2005,1,5
2005,2,4
2005,3,1
2005,4,2
2005,5,1
2005,6,1
2005,7,1
2005,8,7
2005,10,1
2005,12,2
2006,1,12
2006,2,8
2006,3,2
2006,4,6
2006,5,5
2006,6,4
2006,7,4
2006,8,8
2006,10,4
2006,11,2
2006,12,3
2007,1,4
2007,2,5
2007,3,1
2007,4,11
2007,5,8
2007,6,11
2007,7,3
2007,8,2
2007,9,4
2007,10,7
2007,11,7
2007,12,2
2008,1,6
2008,2,2
2008,3,2
2008,4,14
2008,5,18
2008,6,39
2008,7,47
2008,8,61
2008,9,15
2008,10,17
2008,11,13
2008,12,42
2009,1,21
2009,2,24
2009,3,28
2009,4,26
2009,5,20
2009,6,17
2009,7,23
2009,8,9
2009,9,16
2009,10,23
2009,11,18
2009,12,4
2010,1,10
2010,2,18
2010,3,16
2010,4,17
2010,5,43
2010,6,15
2010,7,7
2010,8,11
2010,9,15
2010,10,24
2010,11,21
2010,12,7
2011,1,11
2011,2,13
2011,3,13
2011,4,12
2011,5,9
2011,6,22
2011,7,6
2011,8,9
2011,9,11
2011,10,15
2011,11,24
2011,12,6
2012,1,11
2012,2,17
2012,3,23
2012,4,25
2012,5,18
2012,6,18
2012,7,17
2012,8,46
2012,9,10
2012,10,24
2012,11,18
2012,12,22
2013,1,38
2013,2,34
2013,3,32
2013,4,69
2013,5,93
2013,6,45
2013,7,68
2013,8,54
2013,9,70
2013,10,59
2013,11,42
2013,12,47
2014,1,36
2014,2,51
2014,3,50
2014,4,30
2014,5,65
2014,6,43
2014,7,50
2014,8,61
2014,9,60
2014,10,39
2014,11,59
2014,12,53
2015,1,55
2015,2,54
2015,3,68
2015,4,63
2015,5,50
2015,6,66
2015,7,65
2015,8,51
2015,9,49
2015,10,60
2015,11,63
2015,12,77
2016,1,53
2016,2,82
2016,3,73
2016,4,67
2016,5,98
2016,6,45
2016,7,41
2016,8,44
2016,9,18
2016,10,31
2016,11,33
2016,12,47
2017,1,44
2017,2,62
2017,3,81
2017,4,41
2017,5,71
2017,6,60
2017,7,68
2017,8,52
2017,9,56
2017,10,49
2017,11,48
2017,12,63
2018,1,55
2018,2,38
2018,3,43
2018,4,61
2018,5,69
2018,6,49
2018,7,58
2018,8,57
2018,9,38
2018,10,41
2018,11,39
2018,12,53
2019,1,43
2019,2,41
2019,3,44
2019,4,48
2019,5,62
2019,6,29
2019,7,37
2019,8,50
2019,9,28
2019,10,19
2019,11,33
2019,12,33
2020,1,24
2020,2,21
2020,3,23
2020,4,35
2020,5,28
2020,6,35
2020,7,34
2020,8,16
2020,9,25
2020,10,22
2020,11,14
2020,12,17
