iyear,imonth,count
1972,9,1
1973,9,1
1975,9,4
1976,1,2
1976,3,1
1976,4,1
1976,5,1
1976,6,2
1976,7,3
1976,11,2
1976,12,3
1977,3,1
1977,5,4
1977,9,8
1977,11,1
1977,12,1
1978,3,1
1978,4,2
1978,6,1
1979,1,2
1979,5,5
1979,7,2
1979,8,1
1979,10,3
1979,11,2
1980,5,2
1980,9,2
1980,10,4
1981,2,1
1981,4,1
1981,5,2
1981,6,1
1981,7,1
1981,9,1
1981,10,1
1981,11,2
1982,6,2
1982,10,1
1983,4,1
1983,7,1
1983,10,1
1983,12,6
1984,4,2
1984,5,1
1984,9,3
1984,10,5
1984,11,1
1984,12,2
1985,1,8
1985,3,8
1985,5,1
1985,7,2
1985,12,1
1986,2,2
1986,4,1
1986,5,1
1986,7,5
1986,8,1
1986,9,1
1988,4,1
1988,12,1
1989,10,1
1992,2,1
1994,9,1
1995,6,3
2011,11,2
2020,4,1
